# Bot	Buff	Price	Turns	Philanthropic

Niten	The Moxious Madrigal	30	300	0
Niten	The Moxious Madrigal	160	1500	0
Niten	The Moxious Madrigal	680	6000	0
Niten	The Magical Mojomuscular Melody	60	300	0
Niten	The Magical Mojomuscular Melody	330	1500	0
Niten	The Magical Mojomuscular Melody	1350	6000	0
Niten	Cletus's Canticle of Celerity	100	300	0
Niten	Cletus's Canticle of Celerity	510	1500	0
Niten	Cletus's Canticle of Celerity	2020	6000	0
Niten	The Power Ballad of the Arrowsmith	130	300	0
Niten	The Power Ballad of the Arrowsmith	670	1500	0
Niten	The Power Ballad of the Arrowsmith	2690	6000	0
Niten	The Polka of Plenty	200	300	0
Niten	The Polka of Plenty	1010	1500	0
Niten	The Polka of Plenty	4040	6000	0
Niten	Brawnee's Anthem of Absorption	260	300	0
Niten	Brawnee's Anthem of Absorption	1340	1500	0
Niten	Brawnee's Anthem of Absorption	5390	6000	0
Niten	Fat Leon's Phat Loot Lyric	370	300	0
Niten	Fat Leon's Phat Loot Lyric	1850	1500	0
Niten	Fat Leon's Phat Loot Lyric	7420	6000	0
Niten	The Psalm of Pointiness	500	300	0
Niten	The Psalm of Pointiness	2530	1500	0
Niten	The Psalm of Pointiness	10120	6000	0
Niten	Jackasses' Symphony of Destruction	640	300	0
Niten	Jackasses' Symphony of Destruction	3200	1500	0
Niten	Jackasses' Symphony of Destruction	12810	6000	0
Niten	Stevedave's Shanty of Superiority	970	300	0
Niten	Stevedave's Shanty of Superiority	4890	1500	0
Niten	Stevedave's Shanty of Superiority	19560	6000	0
Niten	Aloysius' Antiphon of Aptitude	1310	300	0
Niten	Aloysius' Antiphon of Aptitude	6570	1500	0
Niten	Aloysius' Antiphon of Aptitude	26310	6000	0
Niten	The Ode to Booze	50	15	0
Niten	The Ode to Booze	1650	300	0
Niten	The Ode to Booze	8260	1500	0
Niten	The Ode to Booze	33060	6000	0
Niten	The Sonata of Sneakiness	641	300	0
Niten	The Sonata of Sneakiness	3201	1500	0
Niten	The Sonata of Sneakiness	12811	6000	0
Niten	Carlweather's Cantata of Confrontation	642	300	0
Niten	Carlweather's Cantata of Confrontation	3202	1500	0
Niten	Carlweather's Cantata of Confrontation	12812	6000	0
Niten	Ur-Kel's Aria of Annoyance	971	300	0
Niten	Ur-Kel's Aria of Annoyance	4891	1500	0
Niten	Ur-Kel's Aria of Annoyance	19561	6000	0
