# Adventure Area Name	Area Parameters
#
# Adventure Area Name must match that in adventures.dat
# Area parameters extracted from Kittiwake's Monster Survival Guide:
#
# http://forums.kingdomofloathing.com/viewtopic.php?t=39973&start=0
# http://kol.network-forums.com/viewtopic.php?p=1757

Sleazy Back Alley	Hit: 1 Evade: 1
# Big Creepy Spider 	HP: 1 XP: 1 Def: 1 Atk: 1
# Completely Different Spider	HP: 1 XP: 1 Def: 1 Atk: 1
# Rushing Bum 	HP: 1 XP: 1 Def: 1 Atk: 1
# Drunken Half-Orc Hobo 	HP: 1 XP: 1 Def: 1 Atk: 1 E: stench

Haunted Pantry	Hit: 1 Evade: 1
# Possessed Can of Tomatoes 	HP: 1 XP: 1 Def: 2 Atk: 1
# Fiendish Can of Asparagus 	HP: 1 XP: 1 Def: 2 Atk: 1
# Flame-Broiled Meat Blob 	HP: 2 XP: 1 Def: 1 Atk: 1 E: heat
# Undead Elbow Macaroni 	HP: 1 XP: 1 Def: 1 Atk: 1 E: spooky

Dungeons of Doom	Hit: 37-45 Evade: 37-45
# Swarm of Killer Bees 	HP: 45 XP: 7 Def: 39 Atk: 41
# Acid Blob 	HP: 40 XP: 7.6 Def: 38 Atk: 38
# Mind Flayer 	HP: 47 XP: 7.6 Def: 40 Atk: 36
# Large Kobold  	HP: 30 XP: 7.8 Def: 35 Atk: 43
# Quantum Mechanic	HP: 51 XP: 7.4 Def: 37 Atk: 37
# Mimic	HP: 50 XP: 9 Def: 45 Atk: 45

Daily Dungeon	Hit: 12-19 Evade: 12-21
# Dairy Ooze	HP: 8 XP: 2.6 Def: 13 Atk: 13
# Dodecapede	HP: 8 XP: 2.4 Def: 12 Atk: 12
# Giant Giant Moth	HP: 11 XP: 3-4 Def: 12 Atk: 11
# Mayonnaise Wasp 	HP: 11 XP: 3.4 Def: 17 Atk: 17
# Pencil Golem 	HP: 11 XP: 3 Def: 15 Atk: 15
# Sabre-Toothed Lime	HP: 8 XP: 2.8 Def: 14 Atk: 14
# Tonic Water Elemental	HP: 14 XP: 3.6 Def: 18 Atk: 18
# Vampire Clam	HP: 14 XP: 4 Def: 19 Atk: 21

Degrassi Knoll	Hit: 10-15 Evade: 10-13
# Gnollish Bodybuilder 	HP: 5 XP: 2 Def: 10 Atk: 10 EA: sleaze
# Gnollish Crossdresser 	HP: 5 XP: 2 Def: 10 Atk: 10 EA: sleaze
# Gnollish Flyslayer 	HP: 5 XP: 2 Def: 10 Atk: 10
# Gnollish Gearhead 	HP: 5 XP: 2 Def: 10 Atk: 10
# Gnollish Piebaker	HP: 6 XP: 2.6 Def: 13 Atk: 13
# Gnollish Plungermaster 	HP: 6 XP: 2.6 Def: 13 Atk: 13
# Gnollish Sorceress 	HP: 5 XP: 2.1 Def: 11 Atk: 11
# Gnollish Tirejuggler 	HP: 6 XP: 2.4 Def: 12 Atk: 12
# Gnollish War Chef 	HP: 9 XP: 2.8 Def: 15 Atk: 13
# Guard Bugbear 	HP: 6 XP: 2.4 Def: 12 Atk: 12
# One-Eyed Gnoll 	HP: 5 XP: 2.2 Def: 11 Atk: 11

Fun House	Hit: 17-20 Evade: 14-20
# Bugbear-In-The-Box	HP: 11 XP: 3.4 Def: 18 Atk: 14
# Disease-In-The-Box	HP: 14 XP: 3.6 Def: 18 Atk: 18
# Lemon-In-The-Box	HP: 12 XP: 3.4  Def: 17 Atk: 17
# Scary Clown	HP: 15 XP: 3.8 Def: 19 Atk: 19 E: spooky
# Shaky Clown	HP: 16 XP: 3.8  Def: 19 Atk: 19 E: sleaze
# Creepy Clown	HP: 16 XP: 4 Def: 20 Atk: 20 E: sleaze

Cemetary (Pre-Cyrpt)	Hit: 18-22 Evade: 18-30
# Ghoul 	HP: 10 XP: 3.8 Def: 19 Atk: 19 E: spooky
# Grave Rober 	HP: 12 XP: 4 Def: 22 Atk: 18 E: spooky
# Lihc 	HP: 11 XP: 5 Def: 20 Atk: 30 ED: sleaze
# Skleleton 	HP: 10 XP: 3.6 Def: 18 Atk: 18 E: spooky
# Smart Skelton 	HP: 11 XP: 4 Def: 20 Atk: 20 E: spooky
# Zmobie 	HP: 10 XP: 4 Def: 20 Atk: 20 E: spooky
# Zobmie 	HP: 10 XP: 3.8 Def: 19 Atk: 19 E: spooky

Fernswarthy's Tower	Hit: 16-19 Evade: 16-24
# Brainsweeper 	HP: 9 XP: 3.6  Def: 18 Atk: 18
# Bread Golem 	HP: 8 XP: 4 Def: 16 Atk: 24
# Chowder Golem 	HP: 9 XP: 4 Def: 18 Atk: 22
# Giant Pair of Tweezers 	HP: 8 XP: 3-4 Def: 18 Atk: 16
# Weretaco 	HP: 8 XP: 3.2 Def: 16 Atk: 16
# Yeast Beast 	HP: 8 XP: 3.4 Def: 17 Atk: 17 EA: sleaze
# Lesser Fruit Golem 	HP: 9 XP: 4 Def: 17 Atk: 23</span>

# Cemetary (Post-Cyrpt)	Hit: 54-60 Evade: 53-59
# Corpulent Zobmie	HP: 50 XP: 10.8 Def: 55 Atk: 53 E: spooky
# Grave Rober Zmobie 	HP: 50 XP: 11.8 Def: 59 Atk: 59 E: spooky
# Senile Lihc 	HP: 50 XP: 11.4 Def: 57 Atk: 57 E: spooky
# Slick Lihc	HP: 50 XP: 11.8 Def: 60 Atk: 58 E: spooky
# Gluttonous Ghuol 	HP: 50 XP: 11 Def: 56 Atk: 54 E: spooky
