# Christmas-specific items which can be created through combination or
# smithing.

present	1	box	wrapping paper
bow staff	4	big stick	bow
bowlegged pants	4	basic meat pants	bow
bowler	4	basic meat helmet	bow
Crimbo hat	4	wrapping paper	helmet recipe
Crimbo pants	4	wrapping paper	pants kit
Crimbo sword	4	wrapping paper	sword hilt


# Quest items which are created by combination and their subparts.

abridged dictionary	1	bridge	dictionary
badass belt	1	batskin belt	dragonbone belt buckle
bitchin' meatcar	1	dope wheels	meat engine
bone rattle	1	skeleton bone	broken skull
Bonerdagon necklace	1	necklace chain	vertebra of the Bonerdagon
cog and sprocket assembly	1	cog	sprocket assembly
dope wheels	1	tires	sweet rims
full meat tank	1	empty meat tank	meat stack
heavy metal sonata	1	chrome ore	drab sonata
heavy metal thunderrr guitarrr	1	acoustic guitarrr	chrome ore
hosed tank	1	fishtank	fish hose
intragalactic rowboat	1	S.O.C.K.	quantum egg
makeshift SCUBA gear	1	hosed tank	fishbowl
oyster basket	1	tisket	tasket
really really sticky spider web	1	really sticky spider web	really sticky spider web
really sticky spider web	1	spider web	spider web
skeleton key	1	skeleton bone	loose teeth
T-bone key	1	rusty L-shaped piece of metal	crusty L-shaped piece of metal
tambourine	1	Gnollish pie tin	tambourine bells


# Items involved with the campground, or subcomponents involved in the
# creation of campground items.

barskin tent	1	bar skin	wooden stakes
beanbag chair	1	beans	filthy knitted dread sack
cottage	1	anticheese	bowl of cottage cheese
evil golden arches	1	evil golden arch	evil golden arch
lifeless meat doll	1	meat face	wooden figurine
maid head	1	brainy skull	maiden wig
meat engine	1	full meat tank	cog and sprocket assembly
meat face	1	fairy gravy	dried face
meat golem	1	lifeless meat doll	magicalness-in-a-can
Meat maid	1	maid head	Meat maid body
Meat maid body	1	frilly skirt	meat engine
pretty bouquet	1	pretty flower	pretty flower
spooky scarecrow	1	wooden stakes	spooky staff


# Weapons and accessories that can be created by non-seal clubbers by
# combining items.

asshat	1	bum cheek	bum cheek
charrrm bracelet	1	hemp bracelet	charrrm
detective skull	1	gnoll lips	brainy skull
disembodied smile	1	gnoll lips	gnoll teeth
enchanted eyepatch	1	eyepatch	lihc eye
gnatwing earring	1	gnatwing	piercing post
gnoll-tooth necklace	1	gnoll teeth	necklace chain
Gnollish autoplunger	1	Gnollish plunger	meat engine
icy-hot katana	1	icy katana hilt	hot katana blade
meat cowboy hat	1	basic meat helmet	whitesnake skin
phat turquoise bracelet	1	hemp bracelet	phat turquoise bead
pimpin' meat hat	1	basic meat helmet	bling-bling
spooky staff	1	spooky shrunken head	spooky stick
Talisman o' Nam	1	snakehead charrrm	snakehead charrrm


# Clover weapons and their subcomponents.  These can be made by all
# classes by combining items.

ten-leaf clover	16	disassembled clover
disassembled clover	16	ten-leaf clover
seal-toothed rock	1	big rock	seal tooth
Bjorn's Hammer	1	seal-clubbing club	seal-toothed rock
turtle factory	1	big rock	scroll of turtle summoning
Turtleslinger	1	slingshot	turtle factory
spaghetti with rock-balls	1	big rock	ravioli hat
Pasta of Peril	1	spaghetti with rock-balls	pasta spoon
heavy hot sauce	1	big rock	jaba&ntilde;ero pepper
5-Alarm Saucepan	1	heavy hot sauce	saucepan
stone banjo	1	big rock	banjo strings
Disco Banjo	1	disco ball	stone banjo
heart of rock and roll	1	big rock	hot buttered roll
Rock and Roll Legend	1	heart of rock and roll	stolen accordion


# Familiar items and their subcomponents which do not serve any other
# recalled purpose.

balloon helmet	1	long skinny balloon	long skinny balloon
balloon monkey	1	balloon sword	long skinny balloon
balloon sword	1	balloon helmet	long skinny balloon
cocoa egg	2	large cocoa eggshell fragment	large cocoa eggshell fragment
fertilized ghuol egg	1	ghuol egg	Spooky-Gro fertilizer
goat	1	anticheese	goat cheese
hovering sombrero	1	irate sombrero	poultrygeist
large cocoa eggshell fragment	2	cocoa eggshell fragment	cocoa eggshell fragment
one-winged stab bat	1	batblade	bat wing
pirate skull	1	eyepatch	brainy skull
pregnant gloomy black mushroom	2	gloomy black mushroom	spooky fairy gravy
pregnant oily golden mushroom	2	oily golden mushroom	sleazy fairy gravy
pregnant mushroom	2	Knob mushroom	fairy gravy
rewinged stab bat	1	bat wing	one-winged stab bat
sabre-toothed lime cub	1	lime	sabre teeth
sleazy fairy gravy	2	pr0n legs	fairy gravy
ghost pickle on a stick	2	spectral pickle	skewer

clockwork pirate skull	1	clockwork sphere	enchanted eyepatch
pirate zombie head	1	clockwork pirate skull	zombie pineal gland
pirate zombie robot head	1	pirate zombie head	glowing red eye
ninja pirate zombie robot head	1	pirate zombie robot head	cold ninja mask

# Box parts and things that go into boxes or become boxes or are involved
# in some way with boxes and the things that become/go into them.

bartender skull	1	brainy skull	beer goggles
bartender-in-the-box	1	bartender-skull-in-the-box	cocktailcrafting kit
bartender-skull-in-the-box	1	nothing-in-the-box	bartender skull
beer goggles	1	beer lens	beer lens
box-in-the-box	1	box	nothing-in-the-box
box-in-the-box-in-the-box	1	box	nothing-in-the-box-in-the-box
brainy skull	1	disembodied brain	smart skull
chef skull	1	brainy skull	chef's hat
chef-in-the-box	1	chef-skull-in-the-box	E-Z Cook Oven&trade;
chef-skull-in-the-box	1	nothing-in-the-box	chef skull
nothing-in-the-box	1	box	spring
nothing-in-the-box-in-the-box	1	box-in-the-box	spring
sprocket assembly	1	sprocket	spring


# Items created by combining letters and/or numbers.

31337 scroll	1	30669 scroll	668 scroll
64067 scroll	1	30669 scroll	33398 scroll
64735 scroll	1	64067 scroll	668 scroll
668 scroll	1	334 scroll	334 scroll
ND	1	lowercase N	heavy D
NG	1	lowercase N	original G
WA	1	metallic A	ruby W
Wand of Nagamar	1	WA	ND
wang	1	WA	NG


# Burritos, pizza and statue lime pies.  These are a class all their own
# because of their popularity.  Other really popular items, like spectral
# pickles, are also included.

bean burrito	2	flat dough	beans
Boris's key lime	2	Boris's key	lime
Boris's key lime pie	2	Boris's key lime	pie crust
briny vinegar	2	brine	vinegar
enchanted bean burrito	2	flat dough	enchanted bean
flower petal pie	2	pretty flower	pie crust
ghostly pickling solution	2	briny vinegar	dill
goat cheese pizza	2	plain pizza	goat cheese
herb brownies	2	herbs	Uncle Jick's Brownie Mix
hippy herbal tea	2	guano coffee cup	herbs
insanely spicy bean burrito	2	spicy bean burrito	jaba&ntilde;ero pepper
insanely spicy enchanted bean burrito	2	spicy enchanted bean burrito	jaba&ntilde;ero pepper
insanely spicy jumping bean burrito	2	spicy jumping bean burrito	jaba&ntilde;ero pepper
Jarlsberg's key lime	2	Jarlsberg's key	lime
Jarlsberg's key lime pie	2	Jarlsberg's key lime	pie crust
jumping bean burrito	2	flat dough	jumping beans
Lucky Surprise Egg	2	ten-leaf clover	cocoa egg
mushroom pizza	2	plain pizza	Knob mushroom
pie crust	2	Gnollish pie tin	wad of dough
plain pizza	2	wad of dough	tomato
sausage pizza	2	plain pizza	Knob sausage
spicy bean burrito	2	bean burrito	spices
spicy enchanted bean burrito	2	enchanted bean burrito	spices
spicy jumping bean burrito	2	jumping bean burrito	spices
Sneaky Pete's key lime	2	Sneaky Pete's key	lime
Sneaky Pete's key lime pie	2	Sneaky Pete's key lime	pie crust
spectral pickle	2	ghost cucumber	ghostly pickling solution

flat dough	11	wad of dough
wad of dough	11	flat dough

# Other recipes which aren't popular but can be created.  There is no
# real reason why they aren't popular - they just aren't.

bat haggis	2	batgut	spices
bat wing kabob	2	bat wing	skewer
carob brownies	2	carob chunks	Uncle Jick's Brownie Mix
carob chunk cookies	2	carob chunks	wad of dough
catgut taco	2	catgut	taco shell
chorizo taco	2	uncooked chorizo	taco shell
ghuol egg quiche	2	ghuol egg	pie crust
ghuol-ear kabob	2	ghuol ears	skewer
goat cheese taco	2	goat cheese	taco shell
grue egg omelette	2	grue egg	spooky mushroom
hot stuffing	2	heavy hot sauce	stuffing
jumping bean taco	2	jumping beans	taco shell
Knob shroomkabob	2	Knob mushroom	skewer
Knoll shroomkabob	2	Knoll mushroom	skewer
lihc eye pie	2	lihc eye	pie crust
menudo	2	catgut	spices
papaya taco	2	papaya	taco shell
pr0n cocktail	2	pr0n legs	ketchup
pr0n taco	2	pr0n legs	taco shell
rat appendix-kabob	2	rat appendix	skewer
rat scrapple	2	ratgut	spices
royal jelly taco	2	royal jelly	taco shell
skewered cat appendix	2	cat appendix	skewer
spooky shroomkabob	2	spooky mushroom	skewer
stuffed spooky mushroom	2	spooky mushroom	goat cheese
tofu casserole	2	wad of tofu	Gnollish casserole dish
tofu taco	2	wad of tofu	taco shell
white chocolate chip cookies	2	white chocolate chips	wad of dough


# Standard, tier 1 and tier 2 beverages.  Nothing special about
# these mixtures except everyone can make them.

bloody beer	3	tomato	[41]
bloody mary	3	tomato	bottle of vodka
eggnog	3	ghuol egg	spiced rum
fine wine	3	grapes	fermenting powder
papaya sling	3	papaya	bottle of gin
shot of flower schnapps	3	fermenting powder	pretty flower
shot of grapefruit schnapps	3	grapefruit	fermenting powder
shot of orange schnapps	3	orange	fermenting powder
shot of tomato schnapps	3	fermenting powder	tomato
green beer	3	ten-leaf clover	[41]


# Tier 3 and tier 4 beverages which can be made by anyone.  These are
# believed to be the best creatable drinks without buying a DB's skills or
# using a tiny plastic sword.

extra-spicy bloody mary	3	bloody mary	spices
especially salty dog	3	salty dog	brine
margarita	3	bottle of tequila	lemon
martini	3	bottle of gin	olive
monkey wrench	3	bottle of rum	grapefruit
salty dog	3	bottle of gin	grapefruit
redrum	3	bottle of rum	cranberries
rum and cola	3	bottle of rum	Dyspepsi-Cola
screwdriver	3	bottle of vodka	orange
spiced rum	3	bottle of rum	spices
strawberry daiquiri	3	bottle of rum	strawberry
strawberry wine	3	boxed wine	strawberry
tequila sunrise	3	bottle of tequila	orange
vodka and cranberry	3	bottle of vodka	cranberries
vodka martini	3	bottle of vodka	olive
whiskey and cola	3	bottle of whiskey	Dyspepsi-Cola
whiskey and soda	3	bottle of whiskey	soda water
whiskey sour	3	bottle of whiskey	lemon
white Canadian	3	bottle of vodka	glass of goat's milk
wine spritzer	3	boxed wine	soda water

# Hilarious drinks makable by anyone.

calle de miel with a fly in it	3	margarita	magical ice cube with a fly in it
perpendicular hula with a fly in it	3	strawberry daiquiri	magical ice cube with a fly in it
rockin' wagon with a fly in it	3	vodka martini	magical ice cube with a fly in it
slap and tickle with a fly in it	3	salty dog	magical ice cube with a fly in it
Mae West with a fly in it	3	rabbit punch	magical ice cube with a fly in it
# mandarina colada with a fly in it	3	zmobie	magical ice cube with a fly in it
tangarita with a fly in it	3	tequila sunset	magical ice cube with a fly in it
# prussian cathouse with a fly in it	3	parisian cathouse	magical ice cube with a fly in it

# Tier 3, 4 and 5 beverages which can only be made by someone with
# Advanced Cocktailcrafting.  These include the popular umbrella,
# coconut and ice drinks.

a little sump'm sump'm	7	martini	little paper umbrella
horizontal tango	7	wine spritzer	little paper umbrella
roll in the hay	7	whiskey and soda	little paper umbrella
ducha de oro	7	tequila sunrise	little paper umbrella

fuzzbump	7	whiskey sour	coconut shell
slip 'n' slide	7	screwdriver	coconut shell
ocean motion	7	monkey wrench	coconut shell
pink pony	7	strawberry wine	coconut shell

slap and tickle	7	salty dog	magical ice cubes
rockin' wagon	7	vodka martini	magical ice cubes
perpendicular hula	7	strawberry daiquiri	magical ice cubes
calle de miel	7	margarita	magical ice cubes

# Beverages which can be made by Superhuman Cocktailcrafting

caipifruta	19	bottle of Lieutenant Freeman	kiwi
gibson	19	bottle of Calcutta Emerald	cocktail onion
gin and tonic	19	bottle of Calcutta Emerald	tonic water
mimosette	19	boxed champagne	kumquat
parisian cathouse	19	boxed champagne	raspberry
rabbit punch	19	bottle of Domesticated Turkey	raspberry
teqiwila	19	bottle of Jorge Sinsonte	kiwi
tequila sunset	19	bottle of Jorge Sinsonte	tangerine
vodka and tonic	19	bottle of Definit	tonic water
vodka gibson	19	bottle of Definit	cocktail onion
whiskey bittersweet	19	bottle of Domesticated Turkey	kumquat
zmobie	19	bottle of Lieutenant Freeman	tangerine

# Beverages which can be made by Advanced Cocktailcrafting using
# ingredients available via Superhuman Cocktailcrafting

Divine	7	whiskey bittersweet	little paper umbrella
gimlet	7	gin and tonic	little paper umbrella
Gordon Bennett	7	mimosette	little paper umbrella
yellow brick road	7	vodka and tonic	little paper umbrella

Mon Tiki	7	caipifruta	coconut shell
neuromancer	7	gibson	coconut shell
teqiwila slammer	7	teqiwila	coconut shell
vodka stratocaster	7	vodka gibson	coconut shell

Mae West	7	rabbit punch	magical ice cubes
mandarina colada	7	zmobie	magical ice cubes
tangarita	7	tequila sunset	magical ice cubes
prussian cathouse	7	parisian cathouse	magical ice cubes


# Tiny plastic sword drinks which can be made by anyone.  Also
# includes skewered items and subingredients.

grog	3	bottle of rum	lime
tequila with training wheels	3	bottle of tequila	lime
skewered lime	3	lime	tiny plastic sword
grogtini	3	grog	skewered lime
bodyslam	3	tequila with training wheels	skewered lime

sangria	3	boxed wine	cherry
old-fashioned	3	bottle of whiskey	cherry
skewered cherry	3	cherry	tiny plastic sword
sangria del diablo	3	sangria	skewered cherry
cherry bomb	3	old-fashioned	skewered cherry

dry martini	3	bottle of gin	jumbo olive
dry vodka martini	3	bottle of vodka	jumbo olive
skewered jumbo olive	3	jumbo olive	tiny plastic sword
dirty martini	3	dry martini	skewered jumbo olive
vesper	3	dry vodka martini	skewered jumbo olive

# Item upgrades accessible with Crosby Nash's Still: Moxie class
# characters with the Superhuman Cocktailcrafting skill

bottle of Calcutta Emerald	17	bottle of gin
bottle of Definit	17	bottle of vodka
bottle of Domesticated Turkey	17	bottle of whiskey
bottle of Jorge Sinsonte	17	bottle of tequila
bottle of Lieutenant Freeman	17	bottle of rum
boxed champagne	17	boxed wine

cocktail onion	18	olive
kiwi	18	lemon
kumquat	18	orange
raspberry	18	strawberry
tangerine	18	grapefruit
tonic water	18	soda water

# Super-advanced Meatsmithing base ingredients.  These items are used
# later in the construction of meat-smithing weapons.

asbestos meat stack	13	asbestos ore	dense meat stack
chrome meat stack	13	chrome ore	dense meat stack
linoleum meat stack	13	linoleum ore	dense meat stack

# Super-advanced Meatsmithing weapons.

asbestos crossbow	13	sinewy crossbow string	asbestos meat stack
asbestos staff	13	bigger stick	asbestos meat stack
asbestos sword	13	sturdy sword hilt	asbestos meat stack
hot cross bow	13	asbestos crossbow	hot nuggets
smoldering staff	13	asbestos staff	patchouli incense stick
Spirit Precipice	13	asbestos sword	glowing red eye

chrome crossbow	13	sinewy crossbow string	chrome meat stack
chrome staff	13	bigger stick	chrome meat stack
chrome sword	13	sturdy sword hilt	chrome meat stack
carob cannon	13	chrome crossbow	carob chunks
meatspout staff	13	chrome staff	meat vortex
sword behind inappropriate prepositions	13	chrome sword	facsimile dictionary

linoleum crossbow	13	sinewy crossbow string	linoleum meat stack
linoleum staff	13	bigger stick	linoleum meat stack
linoleum sword	13	sturdy sword hilt	linoleum meat stack
projectile icemaker	13	linoleum crossbow	cold nuggets
hairy staff	13	linoleum staff	goat beard
shuddersword	13	linoleum sword	spooky nuggets

hippo whip	13	hippopotamus skin	whip kit
penguin whip	13	penguin skin	whip kit
yak whip	13	yak skin	whip kit
gnauga hide whip	13	gnauga hide	whip kit

# Meat-smithing weapons.  These items are grouped based on the
# type of base material used in their creation.

basic meat crossbow	4	crossbow string	meat stack
basic meat staff	4	big stick	meat stack
basic meat sword	4	sword hilt	meat stack

dense meat crossbow	4	sinewy crossbow string	dense meat stack
dense meat staff	4	bigger stick	dense meat stack
dense meat sword	4	sturdy sword hilt	dense meat stack

savory crossbow	4	dense meat crossbow	scrumptious reagent
savory staff	4	dense meat staff	scrumptious reagent
savory sword	4	dense meat sword	scrumptious reagent
goulauncher	4	savory crossbow	ghuol guolash
soylent staff	4	savory staff	wad of tofu
Super Magic Power Sword X	4	savory sword	Tasty Fun Good rice candy

basic meat foon	4	foon	meat stack
foon of fulmination	4	basic meat foon	hot powder
foon of frigidity	4	basic meat foon	cold powder
foon of foulness	4	basic meat foon	stench powder
foon of fearfulness	4	basic meat foon	spooky powder
foon of fleshiness	4	basic meat foon	sleaze powder

basic meat spork	4	meat stack	spork

bubblewrap crossbow	4	basic meat crossbow	bubblewrap ore
bubble bauble bow	4	bubblewrap crossbow	bling-bling
bubblewrap staff	4	basic meat staff	bubblewrap ore
wiffle-flail	4	bubblewrap staff	baseball
bubblewrap sword	4	basic meat sword	bubblewrap ore
sword of static	4	bubblewrap sword	long skinny balloon

cardboard crossbow	4	basic meat crossbow	cardboard ore
grease gun	4	cardboard crossbow	White Citadel burger
cardboard staff	4	basic meat staff	cardboard ore
flypaper staff	4	cardboard staff	pine tar
cardboard sword	4	basic meat sword	cardboard ore
flaming cardboard sword	4	cardboard sword	hot powder

dripping meat crossbow	4	basic meat crossbow	ketchup
repeating crossbow	4	dripping meat crossbow	meat engine
dripping meat staff	4	basic meat staff	ketchup
glistening staff	4	dripping meat staff	sleaze powder
dripping meat sword	4	basic meat sword	ketchup
muculent machete	4	dripping meat sword	forest tears

eXtreme meat crossbow	4	basic meat crossbow	stone of eXtreme power
eXtreme meat staff	4	basic meat staff	stone of eXtreme power
eXtreme meat sword	4	stone of eXtreme power	basic meat sword

Kentucky-fried meat crossbow	4	secret blend of herbs and spices	dense meat crossbow
Kentucky-fried meat staff	4	secret blend of herbs and spices	dense meat staff
Kentucky-fried meat sword	4	secret blend of herbs and spices	dense meat sword
potato pistol	4	Kentucky-fried meat crossbow	t8r tots
giant cheesestick	4	Kentucky-fried meat staff	goat cheese
buffalo blade	4	Kentucky-fried meat sword	hot wing

starchy crossbow	4	basic meat crossbow	dry noodles
curdflinger	4	starchy crossbow	bowl of cottage cheese
starchy staff	4	basic meat staff	dry noodles
poutine pole	4	starchy staff	poutine
starchy sword	4	basic meat sword	dry noodles
pestoblade	4	starchy sword	spices

styrofoam crossbow	4	basic meat crossbow	styrofoam ore
can cannon	4	styrofoam crossbow	razor-sharp can lid
styrofoam staff	4	basic meat staff	styrofoam ore
squeaky staff	4	styrofoam staff	sonar-in-a-biscuit
styrofoam sword	4	basic meat sword	styrofoam ore
Frost&trade; brand sword	4	styrofoam sword	cold powder

ram-battering staff	4	ram horns	ram stick

# Meat-smithing armor pieces.  These items are helmets, pants,
# and sometimes accessories which are created in smithing.

meaty helmet turtle	14	helmet turtle	dense meat stack
asbestos helmet turtle	14	meaty helmet turtle	asbestos ore
chrome helmet turtle	14	meaty helmet turtle	chrome ore
linoleum helmet turtle	14	meaty helmet turtle	linoleum ore

basic meat pants	4	meat stack	pants kit
basic meat helmet	4	meat stack	helmet recipe
enchantlers	4	basic meat helmet	ram horns
meatloaf helmet	4	basic meat helmet	ketchup
raspberry beret	4	basic meat helmet	raspberry

basic meat fez	4	basic meat helmet	tassel
sequined fez	4	basic meat fez	teeny-tiny ninja stars

grass blade	4	fake plastic grass	sword hilt
grass hat	4	fake plastic grass	helmet recipe
grass skirt	4	fake plastic grass	skirt / kilt kit

# The dictionary you get from the an abridged dictionary (item 536) is
# not a smithing ingredient. The dictionary the Baron rewards you with
# (item 1316) is.

fez of etymology	4	basic meat fez	facsimile dictionary

# Pants made of hides of various sorts.

furry pants	14	furry fur	pants kit
hippopotamus pants	14	hippopotamus skin	pants kit
penguin shorts	14	penguin skin	pants kit
sticky meat pants	4	really really sticky spider web	basic meat pants
yakskin pants	14	yak skin	pants kit
gnauga hide chaps	14	gnauga hide	pants kit

# Skirts made of hides of various sorts.

furry skirt	14	furry fur	skirt / kilt kit
hippopotamus skirt	14	hippopotamus skin	skirt / kilt kit
penguinskin mini-skirt	14	penguin skin	skirt / kilt kit
sticky meat skirt	4	really really sticky spider web	basic meat skirt
yakskin skirt	14	yak skin	skirt / kilt kit
gnauga hide skirt	14	gnauga hide	skirt / kilt kit

# Kilts made of hides of various sorts.

furry kilt	14	furry fur	skirt / kilt kit
hippopotamus kilt	14	hippopotamus skin	skirt / kilt kit
penguinskin mini-kilt	14	penguin skin	skirt / kilt kit
sticky meat kilt	4	really really sticky spider web	basic meat kilt
yakskin kilt	14	yak skin	skirt / kilt kit
gnauga hide kilt	14	gnauga hide	skirt / kilt kit

# Bucklers made of hides of various sorts.

hippo skin buckler	14	hippopotamus skin	buckler buckle
penguin skin buckler	14	penguin skin	buckler buckle
yakskin buckler	14	yak skin	buckler buckle
gnauga hide buckler	14	gnauga hide	buckler buckle

eXtreme nose ring	1	stone of eXtreme power	piercing post
spooky glove	2	spooky fairy gravy	small leather glove

# Time Trappings, smithable by anyone.

time helmet	4	petrified time	helmet recipe
time trousers	4	petrified time	pants kit
time sword	4	petrified time	sword hilt

# Elemental powders can be compressed into nuggets and wads with the Malus

twinkly nuggets	23	twinkly powder (5)
hot nuggets	23	hot powder (5)
cold nuggets	23	cold powder (5)
spooky nuggets	23	spooky powder (5)
stench nuggets	23	stench powder (5)
sleaze nuggets	23	sleaze powder (5)

twinkly wad	23	twinkly nuggets (5)
hot wad	23	hot nuggets (5)
cold wad	23	cold nuggets (5)
spooky wad	23	spooky nuggets (5)
stench wad	23	stench nuggets (5)
sleaze wad	23	sleaze nuggets (5)

# Reagent potions.  Not to be confused with reagent broth mixtures
# which can be combined with pasta by pastamancers.

cordial of concentration	5	scrumptious reagent	soda water
eyedrops of the ermine	5	scrumptious reagent	strawberry
libation of liveliness	5	scrumptious reagent	grapes
milk of magnesium	5	scrumptious reagent	glass of goat's milk
oil of expertise	5	scrumptious reagent	cherry
oil of slipperiness	5	scrumptious reagent	jumbo olive
oil of stability	5	scrumptious reagent	lime
ointment of the occult	5	scrumptious reagent	grapefruit
perfume of prejudice	5	scrumptious reagent	jaba&ntilde;ero pepper
philter of phorce	5	scrumptious reagent	lemon
potion of potency	5	scrumptious reagent	orange
serum of sarcasm	5	scrumptious reagent	olive
tomato juice of powerful power	5	scrumptious reagent	tomato

salamander slurry	5	scrumptious reagent	salamander spleen
eyedrops of newt	5	scrumptious reagent	eye of newt
Frogade	5	scrumptious reagent	squashed frog

papotion of papower	5	scrumptious reagent	papaya

# Advanced Sauces

scrumdiddlyumptious solution	20	delectable catalyst	scrumptious reagent

# The following recipes lead to infinite recursion...

# hot wad	21	scrumdiddlyumptious solution	sleaze wad
# cold wad	21	scrumdiddlyumptious solution	hot wad
# spooky wad	21	scrumdiddlyumptious solution	cold wad
# stench wad	21	scrumdiddlyumptious solution	spooky wad
# sleaze wad	21	scrumdiddlyumptious solution	stench wad

cologne of contempt	21	scrumdiddlyumptious solution	dill
concentrated cordial of concentration	21	scrumdiddlyumptious solution	tonic water
potent potion of potency	21	scrumdiddlyumptious solution	kumquat
Connery's Elixir of Audacity	21	scrumdiddlyumptious solution	cocktail onion
Hawking's Elixir of Brilliance	21	scrumdiddlyumptious solution	tangerine
Ferrigno's Elixir of Power	21	scrumdiddlyumptious solution	kiwi
eyedrops of the ocelot	21	scrumdiddlyumptious solution	raspberry
potion of temporary gr8tness	21	scrumdiddlyumptious solution	gr8ps

phial of hotness	5	scrumptious reagent	hot powder
phial of coldness	5	scrumptious reagent	cold powder
phial of spookiness	5	scrumptious reagent	spooky powder
phial of stench	5	scrumptious reagent	stench powder
phial of sleaziness	5	scrumptious reagent	sleaze powder

# Simple pastamancer recipes.  Available to pastamancers only, and
# creates pasta if you don't have finer ingredients.

boring spaghetti	6	dry noodles	tomato
