1
# Item id	Item name	Value
1	seal-clubbing club	1
2	seal tooth	1
3	helmet turtle	1
4	turtle totem	1
5	pasta spoon	1
6	ravioli hat	1
7	saucepan	1
8	spices	1
9	disco mask	1
10	disco ball	1
11	stolen accordion	1
12	mariachi pants	1
14	moxie weed	1
15	strongness elixir	1
16	magicalness-in-a-can	1
17	spicy noodles	2
19	asparagus knife	1
20	Kentucky-style derby	1
21	sweet ninja sword	1
22	studded leather boxer shorts	1
23	chewing gum on a string	1
25	meat paste	1
27	spider web	1
28	really sticky spider web	2
29	really really sticky spider web	2
30	big rock	1
33	snorkel	1
34	Dolphin King's crown	1
35	Knob Goblin scimitar	1
36	Knob Goblin tongs	1
37	viking helmet	1
38	Knob Goblin pants	1
40	casino pass	1
41	ice-cold Sir Schlitz	1
42	hermit permit	1
46	wooden figurine	1
47	hot buttered roll	1
49	bowl of cottage cheese	1
51	Knob Goblin Uberpants	1
52	banjo strings	1
53	stone banjo	4
55	jabañero pepper	1
59	slingshot	1
61	fortune cookie	1
69	Newbiesport™ tent	1
70	bar skin	1
71	wooden stakes	3
72	barskin hat	1
73	barskin tent	2
76	Spooky-Gro fertilizer	4
77	spooky stick	1
78	pretty bouquet	2
79	bugbear bungguard	1
80	fairy gravy boat	4
81	ice-cold Willer	1
82	rusty metal ring	1
83	rusty metal shaft	1
84	Orcish meat locker	1
86	rusty metal key	2
87	meat from yesterday	1
88	meat stack	1
89	sword hilt	1
90	helmet recipe	1
91	pants kit	1
92	meatsmithing guide	1
93	basic meat sword	3
94	basic meat pants	3
95	basic meat helmet	3
96	dope gangsta bling-bling	2
97	pimpin' meat hat	1
98	dried face	1
99	meat face	1
100	lifeless meat doll	5
101	meat golem	5
102	spooky shrunken head	1
103	spooky staff	1
104	spooky scarecrow	4
105	bowl of lucky charms	4
106	ketchup	1
107	catsup	1
108	big stick	1
109	crossbow string	1
110	basic meat staff	3
111	basic meat crossbow	3
112	meatloaf helmet	1
113	dripping meat sword	2
114	dripping meat staff	4
115	dripping meat crossbow	4
117	Gnollish plunger	1
118	spring	1
119	sprocket	1
120	cog	1
121	sprocket assembly	2
122	cog and sprocket assembly	2
123	Gnollish flyswatter	1
124	empty meat tank	1
125	full meat tank	1
126	meat engine	1
127	Gnollish autoplunger	1
128	sticky meat pants	1
129	third-hand nunchaku	1
130	enchanted eyepatch	2
131	frilly skirt	1
132	Meat maid body	3
135	sweet rims	3
136	tires	1
137	dope wheels	4
138	ice-cold six-pack	1
139	valuable trinket	1
140	dingy planks	2
142	anticheese	2
143	cottage	3
144	stone of eXtreme power	1
145	barbed-wire fence	1
147	eXtreme meat sword	1
148	eXtreme meat staff	1
149	eXtreme meat crossbow	1
157	Dramatic™ range	1
158	Gnollish pie tin	1
159	wad of dough	1
160	pie crust	2
161	ghuol egg	1
162	ghuol egg quiche	1
163	skeleton bone	1
164	smart skull	1
165	skewer	1
166	ghuol ears	1
167	ghuol-ear kabob	1
168	bone rattle	1
169	bugbear beanie	1
170	lihc eye	1
171	lihc eye pie	1
172	gnoll lips	1
173	taco shell	1
174	Gnollish casserole dish	2
175	uncooked chorizo	1
176	disembodied brain	4
177	brainy skull	4
178	detective skull	4
179	chorizo taco	1
180	ice-cold fotie	1
181	baseball	1
182	batgut	1
183	bat wing	1
184	briefcase	2
185	fat stacks of cash	1
186	enchanted bean	1
187	loose teeth	1
188	bat guano	1
189	guano coffee cup	1
195	eXtreme nose ring	3
198	rat appendix	1
199	shiny ring	1
200	rat appendix kabob	1
201	bat wing kabob	1
202	carob chunks	1
203	herbs	1
204	carob chunk cookies	1
205	secret blend of herbs and spices	2
206	piercing post	2
207	hippy herbal tea	2
208	patchouli incense stick	1
209	wad of tofu	1
210	Feng Shui for Big Dumb Idiots	1
211	decorative fountain	1
212	windchimes	1
213	filthy corduroys	1
214	filthy knitted dread sack	1
215	Uncle Jick's Brownie Mix	3
216	carob brownies	1
217	herb brownies	3
218	hemp string	1
219	necklace chain	1
220	gnoll teeth	1
221	gnoll-tooth necklace	2
222	phat turquoise bead	1
223	phat turquoise bracelet	1
224	eyepatch	1
225	tofu casserole	1
226	can of Red Minotaur	1
227	Kentucky-fried meat sword	3
228	Kentucky-fried meat staff	4
229	Kentucky-fried meat crossbow	4
230	dead guy's watch	1
231	Doc Galaktik's Pungent Unguent	1
232	Doc Galaktik's Ailment Ointment	1
233	Doc Galaktik's Restorative Balm	1
234	Doc Galaktik's Homeopathic Elixir	1
236	Queue Du Coq cocktailcrafting kit	3
237	bottle of gin	1
238	bottle of vodka	1
239	Orcish baseball cap	1
