# Helmet section.  This section includes all the items
# which go in the "hat" slot of the equipment menu.

Ancient Saucehelm	50	Mys: 10
asbestos helmet turtle	80	Mox: 25
asshat	30	none
balaclava	50	Mox: 10
balloon helmet	50	Mox: 10
Baron Von Ratsworth's tophat	75	Mox: 22
barskin hat	25	none
basic meat fez	45	Mox: 7
basic meat helmet	40	Mox: 5
blue traffic cone	60	Mox: 15
bowler	100	Mox: 35
bugbear beanie	30	none
bum cheek	20	none
chef's hat	30	none
chrome helmet turtle	120	Mox: 45
Cloaca-Cola helmet	30	none
clockwork hat	80	Mox: 25
coconut shell	30	none
cold ninja mask	80	Mox: 25
cornuthaum	85	Mox: 27
Crimbo hat	100	Mox: 35
Crown of the Goblin King	70	Mox: 20
Disco 'Fro Pick	50	Mox: 10
disco mask	10	none
draggin' ball hat	100	Mox: 35
Dyspepsi-Cola helmet	30	none
El Sombrero De Lopez	50	Mox: 10
Elder Turtle Shell	50	Mus: 10
enchanted eyepatch	35	Mox: 2
eXtreme scarf	100	Mox: 35
eyepatch	25	none
f3d0r4	110	Mox: 40
fez of etymology	120	Mox: 45
filthy knitted dread sack	60	Mox: 15
foolscap fool's cap	40	Mox: 5
football helmet	150	Mox: 60
gasmask	50	Mox: 10
goat beard	60	Mox: 15
goofily-plumed helmet	70	Mox: 20
green traffic cone	60	Mox: 15
helmet turtle	10	none
ice pick	100	none
irate sombrero	45	Mus: 7
Kentucky-style derby	20	none
Knob Goblin elite helm	60	Mox: 15
Knob Goblin harem veil	10	none
Knob Goblin visor	50	Mox: 10
leather mask	60	Mox: 15
lihc face	90	Mox: 30
linoleum helmet turtle	100	Mox: 35
MAHI fez	200	Mox: 85
maiden wig	35	Mox: 2
meat cowboy hat	40	Mox: 5
meatloaf helmet	55	Mox: 12
meaty helmet turtle	70	Mox: 20
mesh cap	130	Mox: 50
miner's helmet	80	Mox: 25
Mohawk wig	140	Mox: 55
mullet wig	40	Mox: 5
orange traffic cone	60	Mox: 15
Orcish baseball cap	60	Mox: 15
oriole-feather headdress	15	none
pail	30	none
pentacorn hat	40	Mox: 5
pimpin' meat hat	55	Mox: 12
pixel hat	50	Mox: 10
plexiglass pith helmet	180	Mox: 75
Radio Free Baseball Cap	150	Mox: 60
ravioli hat	10	none
red traffic cone	60	Mox: 15
safarrri hat	90	Mox: 30
sequined fez	80	Mox: 25
snorkel	10	none
Sombrero De Vida	50	Mox: 10
spooky hockey mask	100	Mox: 35
stainless steel skullcap	90	Mox: 30
star hat	165	Mox: 67
The Colander of Em-er'il	50	Mys: 10
Dolphin King's crown	35	Mox: 2
The Scalp of Gorgolok	50	Mus: 10
time helmet	100	Mox: 35
viking helmet	20	none
wolf mask	150	Mox: 60
wooden salad bowl	120	Mox: 45
yellow plastic hard hat	90	Mox: 30
yellow traffic cone	60	Mox: 15

# Pants section.  This section includes all the items
# which go in the "pants" slot of the equipment menu.

1337 7r0uZ0RZ	110	Mox: 40
alpha-mail pants	140	Mox: 55
basic meat kilt	40	Mox: 5
basic meat pants	40	Mox: 5
basic meat skirt	40	Mox: 5
bloody clown pants	50	Mox: 10
Boss Bat britches	65	Mox: 17
bowlegged pants	100	Mox: 35
bugbear bungguard	30	none
chain-mail monokini	30	none
Cloaca-Cola fatigues	30	none
clockwork pants	80	Mus: 25
Crimbo pants	100	Mox: 35
demonskin trousers	50	Mox: 10
dungeoneer's dungarees	30	none
Dyspepsi-Cola fatigues	30	none
filthy corduroys	60	Mox: 15
frilly skirt	35	Mox: 2
furry kilt	150	Mox: 60
furry pants	150	Mox: 60
furry skirt	150	Mox: 60
gnauga hide chaps	80	Mox: 25
gnauga hide kilt	80	Mox: 25
gnauga hide skirt	80	Mox: 25
hippopotamus kilt	130	Mox: 50
hippopotamus pants	130	Mox: 50
hippopotamus skirt	130	Mox: 50
junk-mail pants	50	Mox: 10
Knob Goblin elite pants	60	Mox: 15
Knob Goblin harem pants	10	none
Knob Goblin pants	25	none
Knob Goblin Uberpants	45	Mox: 7
leather chaps	130	Mox: 50
leotarrrd	90	Mox: 30
los chinos	55	Mox: 12
mariachi pants	10	none
miner's pants	80	Mox: 25
ninja hot pants	70	Mox: 20
old school Mafia knickerbockers	100	Mox: 35
Orcish cargo shorts	60	Mox: 15
pants of the Slug Lord	35	Mox: 2
paper-plate-mail pants	80	Mox: 25
penguinskin mini-kilt	120	Mox: 45
penguinskin mini-skirt	120	Mox: 45
penguin shorts	120	Mox: 45
pixel pants	50	Mox: 10
plexiglass pants	180	Mox: 75
Radio Free Pants	150	Mox: 60
snowboarder pants	100	Mox: 35
stainless steel slacks	90	Mox: 30
star pants	165	Mox: 67
sticky meat kilt	45	Mox: 7
sticky meat pants	45	Mox: 7
sticky meat skirt	45	Mox: 7
studded leather boxer shorts	20	none
swashbuckling pants	80	Mox: 25
time trousers	100	Mox: 35
tree skirt	100	Mox: 35
troutpiece	110	Mox: 40
white satin pants	40	Mox: 5
yakskin kilt	140	Mox: 55
yakskin pants	140	Mox: 55
yakskin skirt	140	Mox: 55

# Shirt section.  This section includes all the items
# which go in the "shirt" slot of the equipment menu.

Ascension Souvenir T-Shirt	15	none
clockwork trench coat	80	Mus: 25
coconut bikini top	100	Mus: 35
filthy hippy poncho	40	Mus: 5
floral print shirt	100	Mus: 35
frilly shirt	20	none
gingham blouse	100	Mus: 35
goth kid t-shirt	100	Mus: 35
harem girl t-shirt	25	none
Knob Goblin elite shirt	35	Mus: 2
loathing eagle baby-doll shirt	45	Mus: 7
Mr. Shirt	30	none
