1
# Name of familiar, as in familiars.txt
# L2, L3, and L4 specify Power/HP values at that level
# M1 is move #1, usable only at front
#    Bite               [power] damage to a random enemy
#    Bonk               [power] damage to frontmost enemy
#    Claw               [power] damage to frontmost enemy and 1 to a random enemy
#    Peck               [power] damage to frontmost enemy
#    Punch              [power] damage to frontmost enemy and reduce its power by 1
#    Sting              [power] damage to frontmost enemy and poison it
# M2 is move #2
#    Armor Up           Become Armored
#    Backstab           1 damage to rearmost enemy and poison it
#    Breathe Fire       1 damage to all enemies
#    Chill Out          random enemy becomes tired
#    Embarrass          random enemy loses 1 power
#    Encourage          frontmost ally power increases by 1
#    Frighten           frontmost enemy loses 1 power
#    Growl              2 random enemies lose 1 power
#    Howl               1 damage to all enemies
#    Hug                heal frontmost ally by [power]
#    Laser Beam         2 damage to random enemy
#    Lick               heal all allies by 1
#    Regrow             heal self by power
#    Retreat            move to the back
#    Splash             1 damage to 2 random enemies
#    Stinkblast         1 damage to random enemy and poison it
#    Swoop              avoid all attack damage this turn
#    Tackle             knock frontmost enemy to back
# M3 is the ULTIMATE move #3, usable only at back
#    Bear Hug           heal self for 3, teammates for 2
#    Blood Bath         deal 12 damage randomly spread among all foes
#    Defense Matrix     gives all allies Armored
#    Deluxe Impale      deal 5 damage to frontmost enemy
#    Empowering Cheer   give all allies +1 power
#    Healing Rain       gives all allies Regenerating
#    Nasty Cloud        poisons all enemies
#    Nuclear Bomb       deal 5 damage to rearmost enemy
#    Owl Stare          heal all allies by 1 and increase power by 1
#    Pepperscorn        give all allies Spiked
#    Rainbow Storm      give all allies regeneration and armor
#    Spiky Burst        deal 8 damage randomly spread among all foes
#    Stick Treats       heal all allies by 1 and tire front enemy
#    Universal Backrub	heal all allies by 2
#    Violent Shred      deal 2 damage to all enemies
#    Vulgar Display     reduce all enemy power by 1
# AT is the special attribute
#    None
#    Smart              2 XP per battle
#    Armor              1 less damage from (move 1) attacks (minimum 1)
#    Spiked             deals 1 damage back when (move 1) attacked
#    Regenerating       heals 1 HP per round

# Type	L2	L3	L4	M1	M2	M3	AT

Adorable Seal Larva	2/2	3/2	4/2	Bite	Splash	Violent Shred	None
Adorable Space Buddy	1/3	1/4	2/4	Bonk	Encourage	Universal Backrub	None
Adventurous Spelunker	2/2	2/3	2/4	Punch	Hug	Empowering Cheer	None
Aiolion	2/2	2/3	3/3	Claw	Embarrass	Violent Shred	None
Amanitee	2/2	2/3	2/4	Bite	Regrow	Healing Rain	Regenerating
Ancient Yuletide Troll	2/2	3/2	3/3	Claw	Backstab	Vulgar Display	None
Angry Goat	1/3	2/3	3/3	Bite	Lick	Violent Shred	None
Angry Jung Man	1/3	1/4	2/4	Punch	Hug	Deluxe Impale	None
Animated Macaroni Duck	2/2	3/2	3/3	Peck	Regrow	Violent Shred	Regenerating
Artistic Goth Kid	1/3	1/4	1/5	Punch	Frighten	Deluxe Impale	None
Astral Badger	x/x	x/x	3/3	Claw	Howl	Empowering Cheer	None
Attention-Deficit Demon	1/3	2/3	2/4	Claw	Hug	Universal Backrub	None
Autonomous Disco Ball	1/3	1/4	1/5	Bonk	Laser Beam	Deluxe Impale	Smart
Baby Bugged Bugbear	2/2	2/3	2/4	Claw	Hug	Universal Backrub	Smart
Baby Gravy Fairy	1/3	1/4	2/4	Bonk	Swoop	Empowering Cheer	Regenerating
Baby Mayonnaise Wasp	2/2	2/3	3/3	Sting	Swoop	Universal Backrub	Spiked
Baby Mutant Rattlesnake	1/3	2/3	3/3	Bite	Howl	Empowering Cheer	None
Baby Sandworm	2/2	2/3	2/4	Bonk	Howl	Violent Shred	None
Baby Yeti	1/3	2/3	3/3	Claw	Howl	Universal Backrub	None
Baby Z-Rex	2/2	3/2	3/3	Claw	Encourage	Violent Shred	None
Bad Vibe	1/3	1/4	2/4	Bonk	Backstab	Deluxe Impale	None
Bank Piggy	1/3	1/4	2/4	Bonk	Lick	Violent Shred	None
Bark Scorpion	2/2	3/2	4/2	Sting	Growl	Spiky Burst	Spiked
Barrrnacle	1/3	1/4	2/4	Bonk	Splash	Healing Rain	None
Bicycle	1/3	2/3	2/4	Bonk	Embarrass	Vulgar Display	None
