1
# Data provided courtesy of the Garden of Earthly Delights
# The Well-Tempered Epicure: http://www.feesher.com/epicure/export_data.php

# Food	Fullness	Level Req	Adv	Musc	Myst	Moxie

abominable snowcone	2	1	2-5	5-15	5-15	5-15
ancient frozen dinner	4	1	4-8	0	8-10	0
ancient unspeakable fruitcake	3	1	3-6	15-20	15-20	15-20
angel-food cake	3	1	3	0	0	0
antique packet of ketchup	1	1	1-2	1-3	0	1-3
asparagus lo mein	3	6	9-16	11-14	14-16	0
asparagus stir-fry	1	3	1-5	3-5	2-5	0
au jus gezund heit	4	1	4-6	0	0	0
babycakes	2	1	2	0	0	0
balaclava baklava	2	1	2-3	4-6	4-6	4-6
ballroom blintz	3	1	3-8	0	0	10-12
banana	1	1	1	1	1	1
banana cream pie	3	7	6-12	1-100	1-100	1-100
banana-frosted king cake	3	1	3	0	0	0
bash-&#332;s cereal	3	1	3	0	3-5	0
bat haggis	2	2	2-7	0	10-12	0
bat wing chow mein	5	7	21-29	0	70-75	0
bat wing kabob	2	1	2-5	0	7-8	0
bat wing stir-fry	3	4	6-14	0	27-45	0
bat-shaped crimboween cookie	2	7	6-12	0	0	0
bean burrito	3	1	3-8	10-14	0	0
beefy fish meat	1	1	2-3	4-8	0	0
beefy nigiri	2	1	4-8	8-16	0	0
beer basted brat	3	11	13-16	31-40	31-40	31-40
bell-shaped crimbo cookie	2	7	6-12	0	0	0
better than cuddling cake	3	1	4	0	0	0
# big merv's protein shakes	5	1	60-80	220-400	0	0
birthday party jellybean cheesecake	3	1	3	20	20	20
black forest cake	3	7	6-8	0	25-50	0
black forest ham	3	7	8-9	25-45	0	0
black pudding	3	7	5-7	10-12	10-12	9-12
blackberry	1	2	2-3	2-4	2-4	2-4
blob-shaped crimbo cookie	2	7	6-12	0	0	0
blueberry-frosted king cake	3	1	3	0	0	0
blue velvet cake	3	1	3	0	0	0
boring spaghetti	3	3	4-11	6-8	6-8	6-8
boris's key lime pie	4	6	13-19	28-33	0	0
bouillabaise coucher avec moi	5	1	5-9	0	0	0
bowl of bounty-os	3	4	12-15	16-24	16-24	16-24
bowl of cottage cheese	2	1	2	0	0	0
bowl of fishysoisse	6	8	27-29	48-74	67-70	52-70
bowl of lucky charms	1	1	1-3	0	6-9	0
bowl of oriole's nest soup	3	1	3-9	0	0	0
bowl of rye sprouts	1	2	1	10-15	0	0
bowl of unidentifiable goo	5	1	9-16	9-10	9-10	9-10
brain-meltingly-hot chicken wings	1	10	2-4	15-30	15-30	0
brains casserole	5	1	6-14	0	8-10	0
brimstone chicken sandwich	3	1	4-6	-15-20	0	15-20
brown sugar cane	2	7	6-7	1-5	1-5	5-20
bunch of square grapes	2	7	6-7	1-5	5-20	1-5
c. h. u. m. chum	3	1	1	0	0	0
cactus fruit	2	7	6-7	6-20	1-5	1-5
can-shaped gelatinous cranberry sauce	3	6	9-17	0	0	71-74
candied yams	3	5	7-14	0	72-75	0
candy cane	1	4	1-5	10-20	10-20	10-20
candy cane pizza	4	1	6-11	7-9	7-9	7-9
candy cane surprise	3	5	4-5	0	0	0
candy stake	1	4	1-5	10-20	10-20	10-20
carob brownies	2	1	2-5	0	17-19	0
carob chunk cookies	2	1	2-5	0	6-9	0
carob chunk noodles	3	2	3-9	0	0	0
carob chunks	1	1	1-2	0	0	0
catgut taco	2	1	2-5	11-33	0	0
catsup	1	1	1	0	0	0
centipede eggs	2	7	6-7	8-10	8-10	6-10
cherry	1	2	1-3	0	0	0
cherry pie	3	4	6-12	0	8-10	0
children's meal of the damned	0	1	0	0	0	0
chorizo brownies	3	2	3-9	0	0	0
chorizo taco	1	1	1-3	3-5	0	0
cob of corn	1	2	1	0	10-15	0
cocktail onion	1	2	1-3	0	0	0
cocoa eggshell fragment	1	1	1	0	0	0
cold hi mein	5	7	21-29	71-75	30-35	15-20
congratulatory cake	3	1	3	0	0	0
cool mushroom	2	1	2-3	0	12-15	0
cool mushroom casserole	4	1	4-12	0	35-40	0
cranberries	1	1	1	0	0	0
crazy little turkish delight	1	2	1-3	0	30-40	0
cream of pointy mushroom soup	2	1	2-5	0	0	35-40
creamsicle	1	3	1-4	8-10	8-10	8-10
crimbo pie	3	7	8-14	25-45	0	0
cursed black pearl onion	1	1	1	0	0	0
cursed sea biscuit	3	3	6-11	0	0	0
dehydrated caviar	1	2	1-4	0	0	15
delicious noodles	3	3	4-12	0	0	9-25
delicious salad	3	1	3-5	0	0	0
delicious spicy noodles	3	5	7-15	0	29-33	0
desiccated apricot	1	2	1-4	15-17	0	0
devil's-food cake	3	1	3	0	0	0
digital key lime pie	4	6	13-19	10-22	10-22	10-22
dire fudgesicle	2	1	2-4	0	8-10	0
disc-shaped nutrition unit	4	5	6-9	0	0	0
double bacon beelzeburger	3	1	4-6	15-20	-15-20	0
dwarf bread	3	1	3-4	0	0	0
elfin shortbread	3	2	3-9	4-6	4-6	4-6
enchanted bean burrito	3	2	3-9	0	14-16	0
ent cider	2	1	2-5	0	0	30-45
escargotsicle	2	2	4-7	0	0	12-18
extra-greasy slider	5	13	31-34	80-100	80-100	80-100
fancy canap&eacute;s	2	5	7-10	25-40	25-40	25-40
fettucini inconnu	6	6	21-29	0	0	47-52
fishy fish	2	8	3-9	0	0	26-33
fishy fish casserole	3	9	8-15	0	0	38-44
fishy fish lasagna	3	10	11-18	0	0	46-55
flaming mushroom	3	2	3-9	3-5	0	0
flower petal pie	3	2	3-9	0	0	0
foie gras	1	2	1-3	0	0	0
fortune cookie	1	1	1	0	0	0
frat brats	1	10	2-4	0	0	22-30
fricasseed brains	3	1	3-5	0	4-5	0
frozen banquet	6	15	42-48	100-289	100-289	100-289
frozen mushroom	3	2	3-9	0	0	0
fruitcake	3	1	3-6	17-23	17-23	17-23
genalen&trade; bottle	1	10	2-4	15-30	15-30	0
