1
# Data provided courtesy of the Garden of Earthly Delights
# The Well-Tempered Mixologist
# http://www.feesher.com/mixology/index.php


# Drink	Drunk	Level Req	Adv	Musc	Myst	Moxie

Acqua Del Piatto Merlot	1	10	6-10	60	60	60
Acque Luride Grezze Cabernet	1	10	6-10	60	60	60
Blackfly Chardonnay	3	7	5-6	0	0	25-45
Bottle of Pinot Renoir	2	4	4-8	30	18	0
Corpse Island iced tea	6	5	21	25	29	26
Cyder	3	5	5	0	0	0
Divine	4	6	14-18	16-20	25-27	0
Ferita Del Petto Zinfandel	1	10	6-10	60	60	60
Gordon Bennett	4	6	14-18	16-20	25-27	0
Grimacite Bock	1	8	6-10	65	64	62
Hi-Octane Peppermint Oil	5	5	10-15	0	0	0
Hodgman's blanket	2	15	14-16	300-800	300-800	300-800
Imp Ale	1	1	1-2	7-8	0	-5
Infinitesimal IPA	3	1	3-9	0	0	0
Mad Train wine	3	1	3-4	0	0	0
Mae West	4	6	14-18	0	0	40-47
Maiali Sifilitici Pinot Noir	1	10	6-10	60	60	60
McMillicancuddy's Special Lager	1	10	2-4	10-15	10-15	10-15
Mon Tiki	4	6	14-18	40-47	0	0
Morlock's Mark Bourbon	4	4	12-14	22-28	22-28	17-21
Mt. Noob Pale Ale	2	1	4-9	0	0	0
Neuromancer	4	6	14-18	25-27	0	16-20
Oil Nog	4	5	7-9	0	0	0
Oreille Divis&eacute;e brandy	3	4	12-15	15-25	15-25	15-25
Pan-Dimensional Gargle Blaster	5	12	25-27	77-97	61-69	56-70
Petite Porter	3	4	3-5	0	0	0
Ralph IX cognac	6	15	55-58	229-247	228-300	227-289
Ram's Face Lager	1	2	1-4	8-10	0	0
Scrawny Stout	3	6	3-6	0	0	0
Spasmi Dolorosi Del Rene Champagne	1	10	6-10	60	60	60
Supernova Champagne	3	8	7-11	8-12	8-12	8-12
Uovo Marcio Shiraz	1	10	6-10	60	60	60
a little sump'm sump'm	4	4	10-14	0	25-27	8-10
accidental cider	3	1	4-6	0	0	0
around the world	4	4	10-14	0-30	0-30	0-30
banana daiquiri	3	3	6-11	10-26	10-26	17-43
beertini	3	2	4-8	0	10-12	10-12
bilge wine	3	1	3-6	0	0	0
black & tan	2	7	6-7	10-12	10-12	10-12
bloody beer	1	1	1-2	0	0	0
bloody mary	3	1	3-6	1-2	1-2	1-2
bodyslam	6	6	22-26	16-20	0	0
boilermaker	4	12	10-12	10-15	10-15	10-15
bottle of Calcutta Emerald	3	2	4-8	0	0	0
bottle of Definit	3	2	4-8	0	0	0
bottle of Domesticated Turkey	3	2	4-8	0	0	0
bottle of Jorge Sinsonte	3	2	4-8	0	0	0
bottle of Lieutenant Freeman	3	2	4-8	0	0	0
bottle of Ooze-O	3	1	0	0	0	0
bottle of cooking sherry	2	1	2-3	0	0	0
bottle of gin	3	1	3	0	0	0
bottle of popskull	2	1	2-4	0	0	0
bottle of realpagne	2	2	5-8	0	0	12-18
bottle of rum	3	1	3	0	0	0
bottle of sewage schnapps	3	1	0	0	0	0
bottle of single-barrel whiskey	3	9	13-20	40-50	40-50	40-50
bottle of tequila	3	1	3	0	0	0
bottle of vodka	3	1	3	0	0	0
