antique helmet	Spooky: +30 Init: -10.0
asbestos helmet turtle	Hot: +10
asshat	Stench: +10
balaclava	Cold: +10
balloon helmet	DA: +20
blue traffic cone	Hot: +20
bum cheek	Stench: +10
Cloaca-Cola helmet	DA: +10
clockwork hat	Spooky: +10
coconut shell	DA: +1
cold ninja mask	Init: +15.0
Crimbo hat	Spooky: +10
Dyspepsi-Cola helmet	DA: +10
ga-ga radio	Exp: +1.0
gasmask	Stench: +30
giant discarded bottlecap	DR: 3
green traffic cone	Stench: +20
ice pick	Item: +15.0
jewel-eyed wizard hat	Mana: -1
Knob Goblin harem veil	Stench: +10
lihc face	Spooky: +20
miner's helmet	Item: +5.0
orange traffic cone	Spooky: +20
pail	DA: +10
plexiglass pith helmet	Weight: +5
raspberry beret	Hot: +20
red traffic cone	Cold: +20
spooky hockey mask	Spooky: +20
stainless steel skullcap	DA: +60
yellow traffic cone	Sleaze: +20

acoustic guitarrr	Meat: +2.0
antique spear	Init: -30.0
broken sword	Spooky: +10
bubble bauble bow	Item: +5.0
can cannon	ML: +3
can of maces	Sleaze: +10
crowbarrr	Init: +10.0
duck-on-a-string	Item: +5.0
Frost&trade; brand sword	ML: +3
giant discarded plastic fork	Init: -10.0
giant needle	ML: +5
gnauga hide whip	Item: +3.0
hippo whip	ML: +10
ice sickle	ML: +15
meatspout staff	Meat: +15.0
muculent machete	Meat: +5.0
pixel sword	Init: +15.0
rusty grave robbing shovel	Init: -10.0
serpentine sword	ML: +10
squeaky staff	ML: +6
styrofoam crossbow	ML: +3
styrofoam staff	ML: +3
styrofoam sword	ML: +3
titanium assault umbrella	Sleaze: +10, Spooky: +10

1-ball		Init: +5.0
7-ball		Meat: +5.0
antique shield	Init: -10.0 DR: 15
box	Meat: +1.0
box-in-the-box	Meat: +2.0
box-in-the-box-in-the-box	Meat: +3.0
chopsticks	Init: +20.0
Cloaca-cola shield	DR: 4
coffin lid	DR: 3, Spooky: +10
Dyspepsi-cola shield	DR: 4
gnauga hide buckler	DR: 5
hippo skin buckler	DR: 5
hypnodisk	Item: +25.0
ice baby	Exp: +1.0
penguin skin buckler	DR: 5
pixel shield	DR: 3
ricebowl	Item: +20.0
snake shield	DR: 7
snarling wolf shield	DR: 7
star buckler	DR: 10
