2
# Numeric modifiers can now be expressions, enclosed in square brackets.
# No spaces are allowed within the expression, except as part of a zone/location name.
# + - * / ( ) have their usual mathematical meaning and precedence.
# ^ is exponentiation, with the highest precedence.
# Functions available:
#	ceil(x) floor(x) sqrt(x) min(x,y) max(x,y) abs(x)
# Location functions: loc(text) zone(text)
#	These have a value of 1 if the current adventure location or zone contains the
#	specified text, 0 elsewhere.
# Path function: path(text)
#	This has a value of 1 if the player's path matches the text.
# Familiar function: fam(text)
#	This has a value of 1 if the player's familiar type contains the text, else 0.
# Weapon function: mainhand(text)
#	This has a value of 1 if the player's mainhand weapon class (sword, club, etc.)
#	contains the text.
# Preferences function: pref(text)
# Effect function: effect(text)
#	This returns the number of turns remaining of the effect uniquely matching text.
# Resistance function: res(text)
#	This returns the number of resistance levels for the listed element
# Class function: class(text)
#	This has a value of 1 if the player's class matches the text.
# Skill function: skill(text)
#	This has a value of 1 if the player has the skill matching the text.
# There can be at most one of each text function in any single expression.
# Upper-case letters are varying values:
#	A - number of Ascensions
#	B - Blood of Wereseal effect
#	C - Clancy's level
#	D - Drunkenness
#	E - active (nonintrinsic) Effects
#	F - Fullness
#	G - Grimace darkness (0..5)
#	H - Hobo Power
#	I - Disco Momentum
#	J - 1 on Festival of Jarlsberg, 0 otherwise
#	K - Smithsness
#	L - player Level
#	M - total Moonlight (0..9)
#	N - AudieNce
#	P - Pasta Thrall level
#	R - Reagent potion duration
#	S - Spleenness
#	T - Turns remaining of this effect
#	U - telescope Upgrades
#	W - familiar Weight
#	X - gender (-1=male, 1=female)
#	Y - furY
#
# Items which "change with every new day":
#
# Tuesday's Ruby
#	Sunday		+5% Meat from Monsters
#	Monday		Muscle +5%
#	Tuesday		Regenerate 3-7 MP per adventure
#	Wednesday	+5% Mysticality
#	Thursday	+5% Item Drops from Monsters
#	Friday		+5% Moxie
#	Saturday	Regenerate 3-7 HP per adventure

# Hats section of modifiers.txt

4-dimensional fez	Maximum Hooch: +4, Familiar Effect: "atk, 1xLep, cap 12"
8-billed baseball cap	Muscle Percent: +15, Initiative: +30, Spooky Damage: +5, Stench Damage: +5, Hot Damage: +5, Cold Damage: +5, Sleaze Damage: +5, Familiar Effect: "1xVolley, 1xBarrr, cap 12"
# Admiral's hat: +50 Skeleton Anger
Admiral's hat	Adventures: +5, Moxie Percent: +30, Familiar Effect: "atk"
aerated diving helmet	Stench Resistance: +3, Item Drop: -25, Initiative: -50, Adventure Underwater, Familiar Effect: "0.5xPotato"
All-Hallow's Steve's fright wig	Sleaze Damage: +20, Spooky Resistance: +2, Candy Drop: +20, Familiar Effect: "0.5xVolley, 1xPotato, cap 13"
Ancient Saucehelm	Mysticality: +11, Spell Damage: +11, Class: "Sauceror", Familiar Effect: "3xGhuol, cap 25"
ancient turtle shell helmet	Meat Drop: +10, Familiar Effect: "hot atk, cap 8"
anniversary concrete fedora	Muscle: +1, Mysticality: +1, Moxie: +1, Familiar Effect: "5xVolley, 5xLep, cap 2"
antique helmet	Initiative: -10, Spooky Resistance: +2, Familiar Effect: "0.5xPotato, 0.5xFairy"
asbestos helmet turtle	Hot Resistance: +2, Familiar Effect: "hot atk, 1xFairy, cap 20"
asshat	Stench Resistance: +1, Sleaze Damage: +1, Familiar Effect: "stench atk, 1xVolley, cap 7"
astral chapeau	Mysticality Percent: +25, Spell Damage: +20, MP Regen Min: 3, MP Regen Max: 5, Familiar Effect: "1xVolley, 1xLep, cap 12"
balaclava	Cold Resistance: +1, Familiar Effect: "cold atk, 1.5xLep, cap 12"
balloon helmet	Damage Absorption: +20, Clownosity: +1, Familiar Effect: "3xFairy, cap 12"
bark beret	Damage Reduction: 4, Familiar Effect: "2xPotato, 2.5xLep, cap 10"
Baron von Ratsworth's tophat	Muscle: +5, Mysticality: +5, Moxie: +5, Familiar Effect: "1xPotato, 3xGhuol, cap 18"
barskin hat	Muscle: +1, Familiar Effect: "atk, 1xVolley, cap 13"
basic meat fez	Moxie: +2, Mysticality: +1, Familiar Effect: "3xLep, cap 11"
basic meat helmet	Muscle: +1, Familiar Effect: "sleaze atk, 2xFairy, cap 10"
bat hat	Mysticality: +9, Item Drop: +5, Familiar Effect: "spooky atk, 1xVolley, cap 45"
