1	Bugbear Costume	bugbear beanie, bugbear bungguard
2	Filthy Hippy Disguise	filthy knitted dread sack, filthy corduroys
3	Frat Boy Ensemble	homoerotic frat-paddle, Orcish baseball cap, Orcish cargo shorts
4	Knob Goblin Harem Girl Disguise	Knob Goblin harem veil, Knob Goblin harem pants
5	Knob Goblin Elite Guard Uniform	Knob Goblin elite helm, Knob Goblin elite polearm, Knob Goblin elite pants
6	Hot and Cold Running Ninja Suit	cold ninja mask, icy-hot katana, ninja hot pants
7	eXtreme Cold-Weather Gear	eXtreme scarf, snowboarder pants, eXtreme mittens
8	Mining Gear	miner's helmet, 7-Foot Dwarven mattock, miner's pants
9	Swashbuckling Getup	eyepatch, swashbuckling pants, stuffed shoulder parrot
11	Crimbo Duds	Crimbo hat, Crimbo pants, Crimbo sword
12	Star Garb	star buckler, star hat, star pants
14	Furry Suit	furry pants, wolf mask
15	8-Bit Finery	pixel hat, pixel pants, pixel sword
16	Yendorian Finery	cornuthaum, ring of aggravate monster, vorpal blade
17	OK Lumberjack Outfit	balaclava, disbelief suspenders, los chinos
18	Radio Free Regalia	Radio Free Baseball Cap, Radio Free Foil, Radio Free Pants
19	Box Tux	bow staff, bowlegged pants, bowler
20	Clockwork Apparatus	clockwork hat, clockwork pants, clockwork trench coat
21	Gnauga Hides	gnauga hide buckler, gnauga hide chaps, gnauga hide whip
22	Time Trappings	time helmet, time sword, time trousers
23	Cloaca-Cola Uniform	Cloaca-Cola fatigues, Cloaca-Cola helmet, Cloaca-Cola shield
24	Dyspepsi-Cola Uniform	Dyspepsi-Cola fatigues, Dyspepsi-Cola helmet, Dyspepsi-Cola shield
25	Arboreal Raiment	can of fake snow, colored-light "necklace", tree skirt
26	Grass Guise	grass blade, grass hat, grass skirt
27	Encephalic Ensemble	Cerebral Cloche, Cerebral Culottes, Cerebral Crossbow
