3
# id	name	image	equipment	halloween drops
1	Bugbear Costume	bugbear.gif	bugbear beanie, bugbear bungguard	cog, sprocket, spring
2	Filthy Hippy Disguise	hippy.gif	filthy knitted dread sack, filthy corduroys	herb brownies
# Treats: random bottle of booze
3	Frat Boy Ensemble	fratboy.gif	Orcish baseball cap, Orcish frat-paddle, Orcish cargo shorts
4	Knob Goblin Harem Girl Disguise	haremgirl.gif	Knob Goblin harem veil, Knob Goblin harem pants	Knob Goblin love potion
5	Knob Goblin Elite Guard Uniform	eliteguard.gif	Knob Goblin elite helm, Knob Goblin elite polearm, Knob Goblin elite pants	Knob Goblin steroids
6	Hot and Cold Running Ninja Suit	ninja.gif	cold ninja mask, icy-hot katana, ninja hot pants	Cold Hots candy
7	eXtreme Cold-Weather Gear	coldgear.gif	eXtreme scarf, snowboarder pants, eXtreme mittens	Wint-O-Fresh mint
8	Mining Gear	miner.gif	miner's helmet, 7-Foot Dwarven mattock, miner's pants	dwarf bread
9	Swashbuckling Getup	pirate.gif	eyepatch, swashbuckling pants, stuffed shoulder parrot	bottle of rum
10	Terrifying Clown Suit	clown.gif	foolscap fool's cap, bloody clown pants, big red clown nose, polka-dot bow tie, clown shoes	brick
11	Crimbo Duds	pressietat.gif	Crimbo hat, Crimbo sword, Crimbo pants	fruitcake
12	Star Garb	startat.gif	star hat, star buckler, star pants	Senior Mints
13
14	Furry Suit	losertat.gif	wolf mask, furry pants	Tasty Fun Good rice candy
15	8-Bit Finery	swordtat.gif	pixel hat, pixel sword, pixel pants	pixellated candy heart
16	Yendorian Finery	elbereth.gif	cornuthaum, vorpal blade, ring of aggravate monster	candied kobold
17	OK Lumberjack Outfit	canadiatat.gif	balaclava, los chinos, disbelief suspenders	maple syrup
18	Radio Free Regalia	radiotat.gif	Radio Free Baseball Cap, Radio Free Foil, Radio Free Pants	none
19	Bow Tux	bowtat.gif	bowler, bow staff, bowlegged pants	candy cane
20	Clockwork Apparatus	clocktat.gif	clockwork hat, clockwork trench coat, clockwork pants	Sugar Cog
21	Gnauga Hides	gnaugatat.gif	gnauga hide whip, gnauga hide buckler, gnauga hide chaps	Gummi-Gnauga
22	Time Trappings	hourtat.gif	time helmet, time sword, time trousers	Now and Earlier
23	Cloaca-Cola Uniform	cola1tat.gif	Cloaca-Cola helmet, Cloaca-Cola shield, Cloaca-Cola fatigues	Dyspepsi grenade
24	Dyspepsi-Cola Uniform	cola2tat.gif	Dyspepsi-Cola helmet, Dyspepsi-Cola shield, Dyspepsi-Cola fatigues	Cloaca grenade
25	Arboreal Raiment	wreathtat.gif	can of fake snow, tree skirt, colored-light &quot;necklace&quot;	sugar-coated pine cone
26	Grass Guise	eggtat.gif	grass hat, grass blade, grass skirt	foie gras
27	Encephalic Ensemble	jfishtat.gif	Cerebral Cloche, Cerebral Crossbow, Cerebral Culottes	candy brain
28	Glad Bag Glad Rags	recyctat.gif	giant discarded bottlecap, giant discarded plastic fork, giant discarded torn-up glove	alphabet gum
29	Antique Arms and Armor	armortat.gif	antique helmet, antique spear, antique shield, antique greaves	Bit O' Ectoplasm
30	Terrycloth Tackle	toweltat.gif	makeshift turban, makeshift cape, makeshift skirt	toothbrush
31	Tropical Crimbo Duds	tropictat.gif	Tropical Crimbo Hat, Tropical Crimbo Sword, Tropical Crimbo Shorts	orange and black Crimboween candy
32	War Hippy Fatigues	warhiptat.gif	reinforced beaded headband, bullet-proof corduroys, round purple sunglasses	Steal This Candy
# Treats: three random grapefruit, orange or tomato schnapps
33	Frat Warrior Fatigues	warfrattat.gif	beer helmet, distressed denim pants, bejeweled pledge pin
34	Bounty-Hunting Rig	meattat.gif	bounty-hunting helmet, bounty-hunting rifle, bounty-hunting pants	chocolate filthy lucre
# Treat: black pudding OR Blackfly Chardonnay OR black & tan OR black pepper OR black forest cake OR black forest ham
35	Black Armaments	blacktat.gif	black helmet, black sword, black shield, black greaves
# Treat: bit-o-cactus OR honey-dipped locust
36	Palmist Paraphernalia	palmtat.gif	extra-large palm-frond toupee, palm-frond whip, palm-frond capris
37	Tapered Threads	ducttat.gif	duct tape fedora, duct tape sword, duct tape dockers	Angry Farmer's Wife Candy
38	Roy Orbison Disguise	orbisontat.gif	clingfilm cap, clingfilm trousers, clingfilm slippers	fruitfilm
39	Cursed Zombie Pirate Costume	zompirtat.gif	cursed eyepatch, cursed cutlass, cursed breeches	piece of after eight
40	Crimborg Assault Armor	halotat.gif	biomechanical crimborg helmet, C.B.F.G., biomechanical crimborg leg armor	nanite-infested candy cane
41	El Vibrato Relics	elvtat.gif	El Vibrato helmet, El Vibrato energy spear, El Vibrato leg guards	abandoned candy
42	Pyretic Panhandler Paraphernalia	hothobotat.gif	Ol' Scratch's stovepipe hat, Ol' Scratch's ash can, Ol' Scratch's ol' britches	sterno-flavored Hob-O
43	Hyperborean Hobo Habiliments	colhobotat.gif	Frosty's old silk hat, Frosty's nailbat, Frosty's carrot	frostbite-flavored Hob-O
44	Vile Vagrant Vestments	stehobotat.gif	Wand of Oscus, Oscus's dumpster waders, Oscus's pelt	garbage-juice-flavored Hob-O
45	Dire Drifter Duds	spohobotat.gif	Zombo's skullcap, Zombo's shield, Zombo's grievous greaves	strawberry-flavored Hob-O
46	Tawdry Tramp Togs	slehobotat.gif	Chester's bag of candy, Chester's cutoffs, Chester's moustache	fry-oil-flavored Hob-O
47	Hodgman's Regal Frippery	hodgmantat.gif	Hodgman's porkpie hat, Hodgman's lobsterskin pants, Hodgman's bow tie	roll of Hob-Os
48	Arrrbor Day Apparrrrrel	arbortat.gif	willowy bonnet, crotchety pants, Saccharine Maple pendant	Everlasting Deckswabber
49	Mutant Couture	dnatat.gif	parasitic headgnawer, parasitic claw, parasitic strangleworm, parasitic tentacles	Gummi-DNA
50	Dwarvish War Uniform	dwarvish.gif	dwarvish war helmet, dwarvish war mattock, dwarvish war kilt	dwarf bread
51	Wumpus-Hair Wardrobe	wumpustat.gif	wumpus-hair wig, wumpus-hair whip, wumpus-hair loincloth	lint, dubious peppermint
52	Pork Elf Prizes	pigirontat.gif	pig-iron helm, pig-iron shinguards, pig-iron bracers	Elvish delight
53	Grimy Reaper's Vestments	reapertat.gif	corrosive cowl, villainous scythe, corroded breeches	children of the candy corn
54	Slimesuit	slimetat.gif	hardened slime hat, hardened slime pants, hardened slime belt	Good 'n' Slimy
55	Primitive Radio Duds	vol_tat.gif	Voluminous Radio Hat, Voluminous Radio Pants, Voluminous Radio Sneakers	none
56	Floaty Fatigues	rock_tat.gif	floaty rock helmet, floaty rock pants, floaty rock necklace	Rock Pops
57
# Treats: Also drops Ax of L'rose once
58	Vestments of the Treeslayer	arborween.gif	bark beret, bark boxers, bark bracelet	ribbon candy
59	Crappy Mer-kin Disguise	merkintat.gif	crappy Mer-kin mask, crappy Mer-kin tailpiece	Mer-kin rocksalt
60	Mer-kin Gladiatorial Gear	merkgtat.gif	Mer-kin gladiator mask, Mer-kin gladiator tailpiece	Mer-kin saltmint
61	Mer-kin Scholar's Vestments	merkstat.gif	Mer-kin scholar mask, Mer-kin scholar tailpiece	Mer-kin saltsquid
62	Snowman Suit	snowmantat.gif	snow hat, snow pants, snow belly	snowball
63	Frigid Northlands Garb	nosealtat.gif	sealhide hood, sealhide buckler, sealhide leggings	Northern pemmican
64	Legendary Regalia of the Seal Crusher	revclass1.gif	Scalp of Gorgolok, Sledgehammer of the V&aelig;lkyr, Krakrox's Loincloth, Claw of the Infernal Seal	chocolate seal-clubbing club
65	Legendary Regalia of the Chelonian Overlord	revclass2.gif	Elder Turtle Shell, Flail of the Seven Aspects, Galapagosian Cuisses, Garter of the Turtle Poacher	chocolate turtle totem
66	Legendary Regalia of the Pasta Master	revclass3.gif	Colander of Em-er'il, Wrath of the Capsaician Pastalords, Angelhair Culottes, Bandolier of the Spaghetti Elemental	chocolate pasta spoon
67	Legendary Regalia of the Saucemaestro	revclass4.gif	Ancient Saucehelm, Windsor Pan of the Source, Newman's Own Trousers, Gravyskin Belt of the Sauceblob	chocolate saucepan
68	Legendary Regalia of the Groovelord	revclass5.gif	Disco 'Fro Pick, Seeger's Unstoppable Banjo, Volartta's bellbottoms, Bling of the New Wave	chocolate disco ball
69	Legendary Regalia of the Master Squeezeboxer	revclass6.gif	El Sombrero De Lopez, The Trickster's Trikitixa, Lederhosen of the Night, La Hebilla del Cintur&oacute;n de Lopez	chocolate stolen accordion
70	BRICKOfig Outfit	minifigtat.gif	BRICKO hat, BRICKO sword, BRICKO pants	BRICKO brick
71	Knight's Armor	bknight.gif	helm of the white knight, trousers of the white knight, wristwatch of the white knight	pawn cookie
72	Fancy Tux	blacktie.gif	fancy tophat, fancy tuxedo pants, fancy black tie	chocolate-covered caviar
73	Transparent Trappings	plexitat.gif	plexiglass pith helmet, plexiglass pikestaff, plexiglass pants, plexiglass pendant, plexiglass pocketwatch, plexiglass pinky ring	PlexiPips
74	Unblemished Uniform	staintat.gif	stainless steel skullcap, stainless steel shillelagh, stainless steel slacks, stainless steel scarf, stainless steel solitaire, stainless steel suspenders	Wax Flask
75	Blasphemous Bedizenment	brimtat.gif	Brimstone Beret, Brimstone Bludgeon, Brimstone Bunker, Brimstone Boxers, Brimstone Brooch, Brimstone Bracelet	Pain Dip
76	Smoked Pottery	potterytat.gif	pottery hat, pottery shield, pottery training pants	volcanic ash
77	Thousandth Birthday Suit	skeletat.gif	bonedanna, boneana hammock, bone spurs	candy skeleton
78	Uncle Hobo's Rags	crimbeard.gif	Uncle Hobo's stocking cap, Uncle Hobo's gift baggy pants, Uncle Hobo's epic beard	holly-flavored Hob-O
79	Paperclippery	cliptat.gif	paperclip turban, paperclip cape, paperclip pants, paperclip-on tie	elderly jawbreaker
# Treat: drops double-ice gum when Russian Ice is in inventory, otherwise adds 1 drunk
80	Cold Comforts	doubicetat.gif	double-ice cap, double-ice box, double-ice britches
81	Bits o' Honey	honeytat.gif	honeycap, honey dipper, honeybritches	honey stick
82	Luniform	lunartat.gif	Moonthril Circlet, Moonthril Flamberge, Moonthril Greaves	Comet Drop
83	Dark Bro's Vestments	necbrotat.gif	The Necbromancer's Hat, The Necbromancer's Stein, The Necbromancer's Shorts	Necbro wafers
84	Sucker Samurai Suit	lollitat.gif	sucker kabuto, sucker tachi, sucker hakama	Atomic Pop
85	Wax Wardrobe	crayontat.gif	wax hat, wax pants	Drizzlers&trade; Black Licorice
86	Hot Daub Ensemble	claytat.gif	hot daub bun, foot-long hot daub, hot daub stand	daub-breaker
87	Pinata Provisions	rad_tat.gif	papier-mitre, papier-m&acirc;churidars, papier-masque	pile of candy
88	Oil Rig	oiltat.gif	oil cap, oil lamp, oil slacks	crude crudit&eacute;s
89	Animelf Apparel	animelftat.gif	brainwave-controlled unicorn horn, electronic dulcimer pants, Frown Exerciser	blind-packed capsule toy
90	Seafaring Suit	sailortat.gif	foam commodore's hat, miniature deck cannon, foam naval trousers	candy crayons
91	Raiments of the Final Boss	bosstat.gif	Helm of the Scream Emperor, Sword of Dark Omens, Shield of Icy Fate, Cloak of Dire Shadows, Greaves of the Murk Lord, Boots of Twilight Whispers, Belt of Howling Anger, Gauntlets of the Blood Moon	Boss Drops
