4
# effect id	name	image	descid	quality	attributes	default action
1	Light!	light.gif	29e5ac45852cffc2c37ad392eb87bab7	neutral	none	use 1 birthday candle
2	Sleepy	sleepy.gif	35b38533640fed03c12460b1dca98e81	bad	none	use 1 decorative fountain
3	Confused	confused.gif	d335051a5afb4fa12036998ac13f167b	bad	none	use 1 Senior Mints
4	Embarrassed	blush.gif	c489e39537ea426cd1b8fae88ed5032c	bad	none	use 1 patchouli incense stick
5	Far Out	farout.gif	5ad503e9df2df73bfbbb5377b622c8c4	good	none	use 1 patchouli incense stick
6	Wings	wings.gif	8cdb75aeb628bb9b9594908b7d0bfa74	neutral	none	drink 1 can of Red Minotaur
7	Beaten Up	beatenup.gif	acf143c704afaf7504ac07375084f79e	bad	none	# losing in combat
8	Hardly Poisoned at All	poison.gif	13e148b2f71301e54e27001d6e603584	bad	none	use 1 marzipan skull
9	Knob Goblin Perfume	spraycan.gif	12f74ff515842399be4b67bbc3550f79	neutral	none	use 1 Knob Goblin perfume|cargo effect Knob Goblin Perfume
10	Steroid Boost	strboost.gif	28abefa0a5f2e63058cdb32e0a23b131	good	none	use 1 Knob Goblin steroids
11	Knob Goblin Lust Frenzy	lovelips.gif	3e2c81c59d65d6e8332d64e073f6cc18	good	none	use 1 Knob Goblin love potion
12	Sharp Weapon	spraycan.gif	ac188a357b0bfba487c9308ffa3af551	good	none	use 1 Knob Goblin sharpening spray
13
14	Hennaliciousness	henna.gif	b7bda390dc07f7526b12bcfcede19d36	good	none	use 1 henna tattoo
15	Bloody Hand	sad.gif	21bbf1fc30240ba896c783e810fc737b	bad	none	use 1 seal tooth|cargo effect Bloody Hand
16	Leash of Linguini	string.gif	2d6d3ab04b40e1523aa9c716a04b3aab	good	none	cast 1 Leash of Linguini
17	Sugar Rush	hoppedup.gif	83695b70e0470a36125feca3198a16b4	neutral	none	use either 1 Angry Farmer candy, 1 Tasty Fun Good rice candy, 1 Crimbo candied pecan, Crimbo fudge, Crimbo peppermint bark, 1 Breath mint, 1 that gum you like
18	Ghostly Shell	ghosturtle.gif	9d5cb67507556bb105664b1dc9e8bf9a	good	none	cast 1 Ghostly Shell
19	Reptilian Fortitude	scharm.gif	6c7b4a5a3c6807d21493f1253bf8dfd9	good	none	cast 1 Reptilian Fortitude
20	Uncertain	bigqmark.gif	8ae7c039ea59f198c8a56228ea63dc1f	neutral	none	use 1 probability potion
21	Seal Clubbing Frenzy	clubseal.gif	93e55821ba196181627eae905eb1f052	good	none	cast 1 Seal Clubbing Frenzy
22	Patience of the Tortoise	tortpatience.gif	13d514f97d8701d2507c8623b88897ff	good	none	cast 1 Patience of the Tortoise
23	Pasta Oneness	mandala.gif	583619abc0e4380d80629babe3677aed	good	none	cast 1 Manicotti Meditation
24	Saucemastery	contemplation.gif	2817b71ed041fdffb5b4b514c8be662d	good	none	cast 1 Sauce Contemplation
25	Disco State of Mind	discoball.gif	869b501ce3b0e8ba139e7f3807db0c1f	good	none	cast 1 Disco Aerobics
26	Mariachi Mood	accordion.gif	c0a491f833b3490be4763e48a0a4c317	good	none	cast 1 Moxie of the Mariachi
27	Temporary Lycanthropy	lycanth.gif	79bc05cd8f6cdf869c66a840f79ce2d3	good	nohookah	use 1 blood of the Wereseal
28	Butt-Rock Hair	buttrock.gif	04bc18fe47f495a894774fa1bbb9713d	good	none	use 5 hair spray
29	Contemptible Emanations	stench.gif	20f081726fb8cfa9a64736d6fb8333a4	neutral	none	use 1 cologne of contempt
30	Incredibly Hulking	strboost.gif	fd5616e89e1c2ecb0b01b61929682d2d	good	none	use 1 Ferrigno's Elixir of Power
31	Superhuman Sarcasm	wink.gif	2ca6aa31e5eed5cd125e9fd374b74a78	good	none	use either 1 serum of sarcasm, 1 evil serum of sarcasm
32	Tomato Power	tomato.gif	1eb060ef5cd5a7cff1a210edc5b62748	good	none	use either 1 tomato juice of powerful power, 1 evil tomato juice of powerful power
33	Phorcefullness	strboost.gif	e176f70d3a673e928e6c93aa523b5e14	good	none	use either 1 philter of phorce, 1 evil philter of phorce
34	Pronounced Potency	nicesword.gif	e4f2a1e71b5609afa4ad710a4a37cbdd	good	none	use either 1 potion of potency, 1 evil potion of potency
35	Concentration	farout.gif	7cb1ce3c6611696ed66b0f180fcb79d4	good	none	use 1 cordial of concentration
36	Mystically Oiled	potion4.gif	df21506858f7dfabf69c62d6562dc574	good	none	use either 1 ointment of the occult, 1 evil ointment of the occult|cargo effect Mystically Oiled
37	Expert Oiliness	potion4.gif	e29bedb34840827fd6c9e6887d04d2b4	good	nohookah	use 1 oil of expertise
38	Gr8ness	grapes.gif	22a24325a136bd388cd85852ffee92e3	good	none	use 1 potion of temporary gr8ness
39	Hernia!	hernia.gif	eb4f2cac29d8c2a73a6b0f1d532f61c9	bad	none	# using mafia aria without cummerbund
40	Red Neck	redneck.gif	e0e05fe6a88713716c5f8644379c1aeb	neutral	none	# wearing mesh cap
41	Chapped Legs	legs.gif	8b5481d9989685d266fcbb5028cd6929	neutral	none	# wearing leather chaps
42	Sunburned	sunburn.gif	309b9f895dcc011a120b12453c1bc7e5	bad	none	# adv in Palindome or unhydrated Desert
43	Wussiness	strnoboost.gif	84e619e8ff038d639085cbe8ea74752b	bad	none	use 1 wussiness potion
44	Draggin' Balls	ballhat.gif	cf78b055a699cad5e45443be2345a354	neutral	none	# wearing draggin' ball hat
45	1337p4n7Z	whitepants.gif	70679877d6ac73627d6576ca7cb72f62	neutral	none	# wearing 1337 7r0uZ0RZ
46	Spiky Hair	spikyhair.gif	89acaef20b7c355d36fdf0990bf6a5ec	good	none	use 1 super-spiky hair gel
47	Complete Delusion	wolfmask.gif	b00a05823151fd7e6c8fe7697c0420ca	good	nohookah	# wearing wolf mask
48	The Smile of Mr. A.	gma.gif	59e9f58e87d531b3ef613515a3417210	good	none	use 1 box of sunshine
49	Macho Profundo	strboost.gif	a02c6fb27a3f9f4bf2c48d59584adc56	good	none	use 1 mafia aria
50	Empathy	empathy.gif	ac32e95f470a7e0999863fa0db58d808	good	none	cast 1 Empathy of the Newt
51	Tenacity of the Snapper	snapper.gif	c05dc4b01f6f2826be599f07620979f7	good	none	cast 1 Tenacity of the Snapper
52	Astral Shell	blackshell.gif	4e66acac6b908fb6f70b49092dcff375	good	none	cast 1 Astral Shell
53	Elemental Saucesphere	elesphere.gif	e3d1d1099648703e192a55a9aea17a1e	good	none	cast 1 Elemental Saucesphere
