1	seal-clubbing club	12	1
2	seal tooth	3	1
3	helmet turtle	9	1
4	scroll of turtle summoning	0	1
5	pasta spoon	12	1
6	ravioli hat	9	1
7	saucepan	12	1
8	spices	0	1
9	disco mask	9	1
10	disco ball	12	1
11	stolen accordion	12	1
12	mariachi pants	10	1
13
14	moxie weed	4	100
15	strongness elixir	4	100
16	magicalness-in-a-can	4	100
17	spicy noodles	1	300
18	tortoise's blessing	0	1
19	asparagus knife	12	20
20	Kentucky-style derby	9	25
21	sweet ninja sword	12	25
22	studded leather boxer shorts	10	25
23	chewing gum on a string	0	15
24	ten-leaf clover	4	-1
25	meat paste	0	10
26	Dolphin King's map	3	0
27	spider web	0	3
28	really sticky spider web	0	5
29	really really sticky spider web	0	9
30	big rock	0	1
31	seal-toothed rock	0	2
32	Bjorn's Hammer	12	150
33	snorkel	9	15
34	Dolphin King's crown	9	40
35	Knob Goblin scimitar	12	20
36	Knob Goblin tongs	12	25
37	viking helmet	9	25
38	Knob Goblin pants	10	30
39	pretty flower	0	-1
40	casino pass	0	50
41	ice-cold Sir Schlitz	2	30
42	hermit permit	0	50
43	worthless trinket	0	0
44	worthless gewgaw	0	0
45	worthless knick-knack	0	0
46	wooden figurine	0	100
47	hot buttered roll	1	100
48	heart of rock and roll	0	101
49	bowl of cottage cheese	1	31
50	Rock and Roll Legend	12	150
51	Knob Goblin Uberpants	10	60
52	banjo strings	0	100
53	stone banjo	12	30
54	Disco Banjo	12	150
55	jaba&ntilde;ero pepper	0	100
56	heavy hot sauce	0	101
57	5-Alarm Saucepan	12	150
58	turtle factory	0	3
59	slingshot	12	75
60	Turtleslinger	12	150
61	fortune cookie	0	100
62	oriole-feather headdress	9	1
63	action figure head	0	0
64	action figure body	0	0
65	Mighty Bjorn action figure	0	0
66	golden twig	0	100
67	spaghetti with rock-balls	0	2
68	Pasta of Peril	12	150
69	Newbiesport&trade; tent	3	20
70	bar skin	0	5
71	wooden stakes	12	30
72	barskin hat	9	30
73	barskin tent	3	9
74	Spooky Temple map	3	0
75	spooky sapling	0	0
76	Spooky-Gro fertilizer	0	6
77	spooky stick	12	35
78	pretty bouquet	3	2
79	bugbear bungguard	10	35
80	fairy gravy	0	5
81	ice-cold Willer	2	30
82	rusty L-shaped piece of metal	0	4
83	crusty L-shaped piece of metal	0	5
84	locked Orcish meat locker	0	5
85	empty Orcish meat locker	3	6
86	T-bone key	0	8
87	meat from yesterday	0	5
88	meat stack	0	100
89	sword hilt	0	50
90	helmet recipe	0	50
91	pants kit	0	50
92	meatsmithing guide	0	25
93	basic meat sword	12	140
94	basic meat pants	10	140
95	basic meat helmet	9	140
96	bling-bling	8	60
97	pimpin' meat hat	9	155
98	dried face	0	7
99	meat face	0	11
100	lifeless meat doll	0	108
101	meat golem	0	200
102	spooky shrunken head	0	6
103	spooky staff	12	50
104	spooky scarecrow	3	55
105	bowl of lucky charms	1	35
106	ketchup	1	100
107	catsup	1	100
108	big stick	12	50
109	crossbow string	0	50
110	basic meat staff	12	140
111	basic meat crossbow	12	140
112	meatloaf helmet	9	175
113	dripping meat sword	12	150
114	dripping meat staff	12	150
115	dripping meat crossbow	12	150
116	Bugfinder Blade	12	0
117	Gnollish plunger	12	40
118	spring	0	10
119	sprocket	0	10
120	cog	0	10
121	sprocket assembly	0	17
122	cog and sprocket assembly	0	25
123	Gnollish flyswatter	12	40
124	empty meat tank	0	10
125	full meat tank	0	108
126	meat engine	0	124
127	Gnollish autoplunger	12	160
128	sticky meat pants	10	145
129	Gnollish nunchaku	12	50
130	enchanted eyepatch	9	60
131	frilly skirt	10	40
132	Meat maid body	0	155
133	Certificate of Participation	0	0
134	bitchin' meatcar	0	0
135	sweet rims	0	100
136	tires	0	14
137	dope wheels	0	110
138	ice-cold six-pack	4	150
139	valuable trinket	0	150
140	dingy planks	0	100
141	dingy dinghy	0	0
142	anticheese	0	30
143	cottage	3	50
144	stone of eXtreme power	0	30
145	barbed-wire fence	3	31
146	dinghy plans	3	0
147	eXtreme meat sword	12	160
148	eXtreme meat staff	12	160
149	eXtreme meat crossbow	12	160
150	The Scalp of Gorgolok	9	0
151	Elder Turtle Shell	9	0
152	The Colander of Em-er'il	9	0
153	Ancient Saucehelm	9	0
154	Disco 'Fro Pick	9	0
155	El Sombrero De Lopez	9	0
156	guild application	0	0
157	E-Z Cook Oven&trade;	0	500
158	Gnollish pie tin	0	15
159	wad of dough	3	25
160	pie crust	0	35
161	ghuol egg	1	16
162	ghuol egg quiche	1	46
163	skeleton bone	12	35
164	smart skull	0	20
165	skewer	0	40
166	ghuol ears	0	16
167	ghuol-ear kabob	1	52
168	bone rattle	0	23
169	bugbear beanie	9	35
170	lihc eye	0	19
171	lihc eye pie	1	45
172	gnoll lips	0	11
173	taco shell	0	40
174	Gnollish casserole dish	0	70
175	uncooked chorizo	1	18
176	disembodied brain	0	19
177	brainy skull	0	32
178	detective skull	13	50
179	chorizo taco	1	52
180	ice-cold fotie	2	40
181	baseball	0	11
182	batgut	0	12
183	bat wing	0	14
184	briefcase	4	15
185	fat stacks of cash	0	150
186	enchanted bean	3	25
187	loose teeth	0	17
188	bat guano	4	12
189	guano coffee cup	0	12
190
191	Boss Bat bandana	0	0
192	batskin belt	0	0
193	birthday candle	0	50
194	Mr. Accessory	8	-1
195	eXtreme nose ring	8	75
