1
# set	level	platforms

1	1	0,3,17,19,21,24,26,28,31,33,37,48,54,63,66,68,70,74,82,85,89,93,109,111,116,118,123,126,127,134,143,149,155,157,163,166
1	2	1,4,14,16,20,22,25,38,43,47,52,57,59,67,71,75,77,80,86,87,88,103,107,119,122,131,138,141,146,148,151,154
1	3	2,8,12,18,23,29,36,39,40,46,55,56,58,65,73,76,83,90,94,96,99,101,105,106,113,117,121,124,129,132,140,147,152,158,168
1	4	6,9,11,27,32,35,42,44,50,53,61,64,69,79,91,95,98,100,104,115,120,125,133,136,142,144,153,159,161,164
1	5	5,7,10,13,15,30,34,41,45,49,51,60,62,72,78,81,92,97,102,108,110,112,114,128,130,135,137,139,145,150,156,160,162,165,167

2	1	0,4,7,9,21,27,31,37,45,51,53,62,66,68,78,85,86,96,107,112,113,116,118,121,127,131,133,137,138,143,159,161,163,166
2	2	3,6,10,14,18,23,26,30,32,41,43,50,52,57,59,60,64,82,94,97,102,106,109,111,114,115,117,119,129,136,145,148,153,154,157,164
2	3	2,5,11,33,36,42,54,56,61,71,76,77,80,81,99,100,104,108,110,122,124,128,140,142,144,150,152,156,160,168
2	4	1,12,15,16,19,22,25,28,40,44,47,48,49,55,58,63,67,72,74,79,83,88,89,92,93,95,123,126,130,134,135,146,151,155,165
2	5	8,13,17,20,24,29,34,35,38,39,46,65,69,70,73,75,87,90,91,98,101,103,105,120,125,132,139,141,147,149,158,162,167

3	1	9,12,14,17,19,21,27,31,33,36,38,42,53,62,68,72,74,76,79,83,86,101,104,109,111,119,120,123,128,138,143,149,155,158,161,167
3	2	8,11,13,16,18,22,24,26,43,47,57,59,64,65,67,71,75,80,81,82,88,91,113,124,127,131,134,141,144,147,150,152
3	3	0,4,10,15,20,28,35,44,50,51,58,60,61,66,69,77,78,85,93,95,98,100,107,114,115,117,122,125,129,132,140,146,151,156,166
3	4	1,3,6,29,32,37,40,46,48,52,55,63,73,89,94,96,99,103,105,116,121,126,130,136,139,145,154,160,163,165
3	5	2,5,7,23,25,30,34,39,41,45,49,54,56,70,87,90,92,97,102,106,108,110,112,118,133,135,137,142,148,153,157,159,162,164,168

4	1	3,5,8,10,14,29,32,35,44,53,58,67,70,76,81,86,88,98,109,113,115,118,130,132,136,140,142,147,159,161,164,168
4	2	2,4,6,22,24,26,31,33,40,50,54,59,62,65,69,79,89,93,101,105,108,110,117,120,126,129,137,144,152,154,160
4	3	12,13,18,20,23,28,37,43,45,48,52,56,63,73,74,77,91,94,102,106,107,111,122,124,127,138,141,146,148,151,156,166
4	4	1,11,16,19,21,25,30,36,39,41,47,51,55,57,71,75,78,80,82,83,87,90,96,99,104,112,114,116,119,121,123,134,139,145,149,153,155,157,163
4	5	0,7,9,15,17,27,34,38,42,46,49,60,61,64,66,68,72,85,92,95,97,100,103,125,128,131,133,135,143,150,158,162,165,167
