Gyms	Clan/Signed Gyms
Beach	Desert Beach	main.php	beach.php
Casino	Seaside Town - Casino

Dungeon	Seaside Town - Dungeon
Town	Seaside Town - Main Area
Manor	Spookyraven Manor

Woods	Distant Woods	woods.php
BatHole	Nearby Plains - Bat Hole	plains.php	bathole.php
Rift	Nearby Plains - Temporal Rifts

Plains	Nearby Plains	plains.php
Knob	Nearby Plains - Cobb's Knob	plains.php	knob.php
Lab	Knob Nearby Plains - Cobb's Knob Lab	plains.php	knob.php	knob2.php

Friars	Deep Fat Friar's	woods.php	friars.php
Cyrpt	Nearby Plains - Defiled Cyrpt	plains.php	cyrpt.php
Island	Mysterious Island

Mountain	Big Mountains
Beanstalk	Above the Beanstalk
Sorceress	Sorceress Lair

MusSign	Muscle-Sign Areas
MysSign	Mysticality-Sign Areas
MoxSign	Moxie-Sign Areas

Astral	Astral Plane

Holiday	Holiday Zones
Removed	Removed Areas
Unsorted	No Category
