# Bot	Buff	Price	Turns

# Buffs available from Testudinata (#537858)

Testudinata	Aloysius' Antiphon of Aptitude	2220	300
Testudinata	Aloysius' Antiphon of Aptitude	3774	510
Testudinata	Aloysius' Antiphon of Aptitude	5995	810

Testudinata	Astral Shell	630	300
Testudinata	Astral Shell	1050	500
Testudinata	Astral Shell	2100	1000
Testudinata	Astral Shell	6090	2900

Testudinata	Brawnee's Anthem of Absorption	360	300
Testudinata	Brawnee's Anthem of Absorption	1800	1500
Testudinata	Brawnee's Anthem of Absorption	3600	3000
Testudinata	Brawnee's Anthem of Absorption	6012	5010

Testudinata	Cletus's Canticle of Celerity	62	300
Testudinata	Cletus's Canticle of Celerity	302	1500
Testudinata	Cletus's Canticle of Celerity	1502	7500
Testudinata	Cletus's Canticle of Celerity	6002	30000

Testudinata	Elemental Saucesphere	631	300
Testudinata	Elemental Saucesphere	1051	500
Testudinata	Elemental Saucesphere	2101	1000
Testudinata	Elemental Saucesphere	6091	2900

Testudinata	Empathy of the Newt	1080	300
Testudinata	Empathy of the Newt	1801	500
Testudinata	Empathy of the Newt	3601	1000
Testudinata	Empathy of the Newt	6121	1700

Testudinata	Fat Leon's Phat Loot Lyric	540	300
Testudinata	Fat Leon's Phat Loot Lyric	1350	750
Testudinata	Fat Leon's Phat Loot Lyric	2701	1500
Testudinata	Fat Leon's Phat Loot Lyric	6129	3405

Testudinata	Ghostly Shell	270	300
Testudinata	Ghostly Shell	901	1000
Testudinata	Ghostly Shell	2700	3000
Testudinata	Ghostly Shell	6120	6800

Testudinata	Jaba&ntilde;ero Saucesphere	632	300
Testudinata	Jaba&ntilde;ero Saucesphere	1052	500
Testudinata	Jaba&ntilde;ero Saucesphere	2102	1000
Testudinata	Jaba&ntilde;ero Saucesphere	6092	2900

Testudinata	Jackasses' Symphony of Destruction	1020	300
Testudinata	Jackasses' Symphony of Destruction	2040	600
Testudinata	Jackasses' Symphony of Destruction	4080	1200
Testudinata	Jackasses' Symphony of Destruction	6122	1800

Testudinata	Jalape&ntilde;o Saucesphere	180	300
Testudinata	Jalape&ntilde;o Saucesphere	900	1500
Testudinata	Jalape&ntilde;o Saucesphere	3000	5000
Testudinata	Jalape&ntilde;o Saucesphere	6003	10000

Testudinata	The Magical Mojomuscular Melody	61	300
Testudinata	The Magical Mojomuscular Melody	301	1500
Testudinata	The Magical Mojomuscular Melody	1501	7500
Testudinata	The Magical Mojomuscular Melody	6001	30000

Testudinata	The Moxious Madrigal	60	300
Testudinata	The Moxious Madrigal	300	1500
Testudinata	The Moxious Madrigal	1500	7500
Testudinata	The Moxious Madrigal	6000	30000

Testudinata	The Ode to Booze	141	15
Testudinata	The Ode to Booze	6063	645

Testudinata	The Polka of Plenty	240	300
Testudinata	The Polka of Plenty	1200	1500
Testudinata	The Polka of Plenty	2400	3000
Testudinata	The Polka of Plenty	6005	7500

Testudinata	The Power Ballad of the Arrowsmith	120	300
Testudinata	The Power Ballad of the Arrowsmith	600	1500
Testudinata	The Power Ballad of the Arrowsmith	3001	7500
Testudinata	The Power Ballad of the Arrowsmith	6004	15000

Testudinata	The Psalm of Pointiness	780	300
Testudinata	The Psalm of Pointiness	1950	750
Testudinata	The Psalm of Pointiness	3900	1500
Testudinata	The Psalm of Pointiness	6007	2310

Testudinata	Reptilian Fortitude	633	300
Testudinata	Reptilian Fortitude	1053	500
Testudinata	Reptilian Fortitude	2103	1000
Testudinata	Reptilian Fortitude	6093	2900

Testudinata	Stevedave's Shanty of Superiority	1620	300
Testudinata	Stevedave's Shanty of Superiority	3240	600
Testudinata	Stevedave's Shanty of Superiority	4860	900
Testudinata	Stevedave's Shanty of Superiority	5994	1110

Testudinata	Tenacity of the Snapper	450	300
Testudinata	Tenacity of the Snapper	1503	1000
Testudinata	Tenacity of the Snapper	3002	2000
Testudinata	Tenacity of the Snapper	6006	4000
