# Bot	Buff	Price	Turns	Philanthropic

Aprochingdoom	The Ode to Booze	1	15	1
Aprochingdoom	The Moxious Madrigal	2	150	1
Aprochingdoom	Cletus's Canticle of Celerity	3	150	1
Aprochingdoom	The Power Ballad of the Arrowsmith	4	150	1
Aprochingdoom	The Polka of Plenty	5	150	1
Aprochingdoom	Brawnee's Anthem of Absorption	6	150	1
Aprochingdoom	Fat Leon's Phat Loot Lyric	7	150	1
Aprochingdoom	The Psalm of Pointiness	8	150	1
Aprochingdoom	Jackasses' Symphony of Destruction	9	150	1
Aprochingdoom	Stevedave's Shanty of Superiority	10	150	1
Aprochingdoom	Aloysius' Antiphon of Aptitude	11	150	1
Aprochingdoom	The Magical Mojomuscular Melody	12	150	1
