# Skills available to Clubbers

1000	0	1	Seal Clubbing Frenzy
1006	2	0	Super-Advanced Meatsmithing
1007	0	10	Tongue of the Otter
1010	0	10	Tongue of the Walrus
1015	0	10	Rage of the Reindeer

# Skills available to Tamers

2000	0	1	Patience of the Tortoise
2006	2	0	Armorcraftiness
2007	1	6	Ghostly Shell
2008	1	10	Reptilian Fortitude
2009	1	15	Empathy of the Newt
2010	1	8	Tenacity of the Snapper
2012	1	10	Astral Shell

# Skills available to Pastamancers

3000	0	1	Manicotti Meditation
3006	0	10	Pastamastery
3009	0	6	Lasagna Bandages
3010	0	12	Leash of Linguini
3012	0	16	Cannelloni Cocoon
3015	0	10	Springy Fusilli

# Skills available to Saucerors

4000	0	1	Sauce Contemplation
4006	0	10	Advanced Saucecrafting
4007	1	10	Elemental Saucesphere
4008	1	5	Jalape&ntilde;o Saucesphere
4011	1	10	Jaba&ntilde;ero Saucesphere
4014	0	4	Saucy Salve

# Skills available to Bandits

5000	0	1	Disco Aerobics
5007	0	8	Disco Nap
5011	0	12	Disco Power Nap
5014	0	10	Advanced Cocktailcrafting

# Skills available to Thieves

6000	0	1	Moxie of the Mariachi
6003	1	40	Aloysius' Antiphon of Aptitude
6004	1	2	The Moxious Madrigal
6005	1	4	Cletus's Canticle of Celerity
6006	1	7	The Polka of Plenty
6007	1	3	The Magical Mojomuscular Melody
6008	1	5	The Power Ballad of the Arrowsmith
6009	1	9	Brawnee's Anthem of Absorption
6010	1	12	Fat Leon's Phat Loot Lyric
6011	1	16	The Psalm of Pointiness
6012	1	20	Jackasses' Symphony of Destruction
6013	1	30	Stevedave's Shanty of Superiority
6014	1	50	The Ode to Booze
