1	seal-clubbing club	12	1	0
2	seal tooth	0	1	0
3	helmet turtle	9	1	0
4	scroll of turtle summoning	0	1	0
5	pasta spoon	12	1	0
6	ravioli hat	9	1	0
7	saucepan	12	1	0
8	spices	0	1	0
9	disco mask	9	1	0
10	disco ball	0	1	0
11	stolen accordion	12	1	0
12	mariachi pants	10	1	0
13
14	moxie weed	4	100	0
15	strongness elixir	4	100	0
16	magicalness-in-a-can	4	100	0
17	spicy noodles	1	300	0
18	tortoise's blessing	0	1	0
19	asparagus knife	12	20	0
20	Kentucky-style derby	9	25	0
21	sweet ninja sword	12	25	0
22	studded leather boxer shorts	10	25	0
23	chewing gum on a string	0	15	0
24	ten-leaf clover	4	0	0
25	meat paste	0	10	0
26	the Dolphin King's map	0	0	0
27	spider web	0	3	0
28	really sticky spider web	0	5	0
29	really really sticky spider web	0	9	0
30	big rock	0	1	0
31	seal-toothed rock	0	2	0
32	Bjorn's Hammer	12	150	0
33	snorkel	9	15	0
34	the Dolphin King's crown	9	40	0
35	Knob Goblin scimitar	12	20	0
36	Knob Goblin tongs	12	25	0
37	viking helmet	9	25	0
38	Knob Goblin pants	10	30	0
39	pretty flower	0	0	0
40	casino pass	0	50	0
41	ice-cold beer	2	30	0
42	hermit permit	0	50	0
43	worthless trinket	0	0	0
44	worthless gewgaw	0	0	0
45	worthless knick-knack	0	0	0
46	wooden figurine	0	100	0
47	hot buttered roll	1	100	0
48	heart of rock and roll	0	101	0
49	bowl of cottage cheese	1	31	0
50	Rock and Roll Legend	12	150	0
51	Knob Goblin Uberpants	10	60	0
52	banjo strings	0	100	0
53	stone banjo	12	30	0
54	Disco Banjo	12	150	0
55	jaba&ntilde;ero pepper	0	100	0
56	heavy hot sauce	0	101	0
57	5-Alarm Saucepan	12	150	0
58	turtle factory	0	3	0
59	slingshot	12	75	0
60	Turtleslinger	12	150	0
61	fortune cookie	0	100	0
62	oriole-feather headdress	9	1	0
63	action figure head	0	0	0
64	action figure body	0	0	0
65	Mighty Bjorn action figure	0	0	0
66	golden twig	0	100	0
67	spaghetti with rock-balls	0	2	0
68	Pasta of Peril	12	150	0
69	Newbiesport&trade; tent	0	0	0
70	bar skin	0	5	0
71	wooden stakes	12	30	0
72	barskin hat	9	30	0
73	barskin tent	0	9	0
74	Spooky Temple map	0	7	0
75	spooky sapling	0	6	0
76	Spooky-Gro fertilizer	0	6	0
77	spooky stick	12	35	0
78	pretty bouquet	0	2	0
79	bugbear bungguard	10	35	0
80	fairy gravy	0	5	0
81	ice-cold beer	2	30	0
82	rusty L-shaped piece of metal	0	4	0
83	crusty L-shaped piece of metal	0	5	0
84	locked Orcish meat locker	0	5	0
85	empty Orcish meat locker	0	6	0
86	T-bone key	0	8	0
87	meat from yesterday	0	5	0
88	meat stack	0	100	0
89	sword hilt	0	50	0
90	helmet recipe	0	50	0
91	pants kit	0	50	0
92	meatsmithing guide	0	25	0
93	basic meat sword	12	140	0
94	basic meat pants	10	140	0
