00	Camp	Campground
01	Beach	Desert Beach
02	Sewer	Seaside Town (sewer)
03	Casino	Seaside Town (casino)
04	Town	Seaside Town (general)
05	Plains	Nearby Plains
06	Knob	Cobb's Knob
07	BatHole	Bat Hole
08	Cyrpt	Defiled Cyrpt
09	Woods	Distant Woods
10	Friars	Deep Fat Friar's
11	Mountain	Big Mountains
12	McLarge	Mt. McLargeHuge
13	Island	Mysterious Island
14	Beanstalk	Above the Beanstalk
15	Ascension	Post-Ascension
16	Clan	Clan Gym
17	Lair	Sorceress Lair
18	Rift	Temporal Rifts
19	Holiday	Holiday Zones
20	Removed	Removed Areas
